	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean	GFF_annotation	HHPred_annotation
gene:Smp_003410	0	1	0.283904146384951	0.283883527054431	3921.12692416855	13812.474876647	60S ribosomal protein L23a	60S ribosomal protein L25
gene:Smp_003440	0	1	14.3473221862004	14.4366856903809	857.574003646558	59.3931083060818	Stomatin-2	PH stomatin
gene:Smp_003700	0	1	0.354419991547312	0.354292191685111	711.787544253744	2009.05923990687	30S ribosomal protein S18	28S ribosomal protein S18A, mitochondrial
gene:Smp_003930	0	1	3.03675675108946	3.04892899413867	202.894218318157	66.539341984751	Intraflagellar transport protein 56	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110
gene:Smp_003970	0	1	0.148027110797689	0.147993522036815	1492.95530507717	10088.0349666288	Elongation factor 1-delta	Elongation factor 1-beta
gene:Smp_004000	0	1	0.192745112208104	0.192219045635227	117.301776019529	610.292562016413	Probable RNA-binding protein EIF1AD	Putative translation initiation factor EIF-1A
gene:Smp_004060	0	1	0.290319697215006	0.289763457564522	147.024632338341	507.419865636529	Cell division cycle protein 20 homolog	CDC20, WD repeat-containing protein SLP1
gene:Smp_004070	0.00228204062401005	0.99771795937599	2.1310260838684	2.1402278275524	104.615539943905	48.8752348320117	Beta carbonic anhydrase 1	Beta-carbonic anhydrase
gene:Smp_004080	0	1	0.36463190624476	0.364481355833975	611.768192339128	1678.47967456596	Mitochondrial 2-oxoglutarate/malate carrier protein	Mitochondrial uncoupling protein 2
gene:Smp_004160	0	1	5.86230552588879	5.96504700271224	112.265636893063	18.8122551879327	Cilia- and flagella-associated protein 77	RPS24, 30S ribosomal protein S24E
gene:Smp_004190	0	1	2.648486910986	2.64943198813316	1837.99307554449	693.724764197356	Cationic amino acid transporter 4	Arginine/agmatine antiporter
gene:Smp_004200	0	1	0.397540057252392	0.397448322121905	1038.1119593668	2611.95714537491	Desumoylating isopeptidase 2	PPPDE peptidase domain-containing protein 2
gene:Smp_004360	0	1	0.453486790108068	0.453405209736299	1208.01718175681	2664.33340809493	Coiled-coil domain-containing protein 124-A	SWI/SNF-related matrix-associated actin- dependent regulator of chromatin subfamily...
gene:Smp_004440	0	1	9.89209852516703	10.1071822315925	166.178920574702	16.4326560011195	Cadherin-like and PC-esterase domain-containing protein 1	Polymerase subunit PA
gene:Smp_004630	3.2444635866824e-10	0.999999999675554	0.27445410016832	0.274083172799844	213.212781046236	777.939185526786	UDP-N-acetylglucosamine transporter	Multidrug transporter EMRE
gene:Smp_004690	0	1	6.84495724295679	6.88198005677567	432.106193734617	62.7795155419952	E3 ubiquitin-protein ligase KCMF1	Dystrobrevin alpha
gene:Smp_004710	0	1	15.6127328756843	15.7163293114667	881.674017797347	56.0898691440033	Mu-conotoxin-like PnMKLT1-014	30S ribosomal protein S10
gene:Smp_004730	0	1	6.35326580138008	6.39887070126133	298.724824281541	46.6755540967026	high voltage-activated calcium channel cav2b	Navrh, ION transport protein
gene:Smp_004820	0	1	0.42471235765771	0.42460365904184	893.748078391641	2104.9131662499	Signal peptidase complex subunit 1	Villin
gene:Smp_004940	0	1	0.236435445678804	0.236385489093363	1436.96443945679	6078.93522192624	60S ribosomal protein L35	FI02809P, 60S ribosomal protein L35
gene:Smp_004990	0	1	0.425509754006461	0.425482193326742	3527.34638984935	8290.24619678652	T-complex protein 1 subunit zeta	T-complex protein 1 subunit zeta
gene:Smp_005080	0	1	0.433007821610084	0.432801290081963	472.547296061042	1091.84741098773	Probable 28S rRNA (cytosine-C(5))-methyltransferase	Methyltransferase
gene:Smp_005140	1.2286669082151e-07	0.999999877133309	0.239916197412101	0.22780659924487	5.67686951083244	24.9535854697941	Hemicentin-1	Thrombospondin 1
gene:Smp_005190	0	1	2.16650690803336	2.16679569934901	3480.92863644955	1606.48139071827	Mitogen-activated protein kinase kinase kinase kinase 5	Serine/threonine-protein kinase 3
gene:Smp_005230	0	1	2.57240046663802	2.57289439688472	3257.56722622792	1266.10384834614	Calumenin-B	Hypothetical protein LOC449832
gene:Smp_005280	0	1	0.280137957710276	0.27994143391706	407.817526780262	1456.82159893041	Ubiquitin carboxyl-terminal hydrolase 10-A	Ubiquitin carboxyl-terminal hydrolase 14
gene:Smp_005500	7.71835928503606e-11	0.999999999922816	0.492198410448416	0.492014716417392	540.93401626357	1099.43682183992	Putative polypeptide N-acetylgalactosaminyltransferase 9	Polypeptide N-acetylgalactosaminyltransferase 1
gene:Smp_005520	4.21708728615133e-06	0.999995782912714	0.460842531146195	0.46065088592835	515.41415375198	1118.89407572591	Zinc finger protein 583	AART
gene:Smp_005720	0	1	21.0173558361689	21.0570774544527	4220.38487653623	200.416430764911	Aquaporin-3	Glycerol uptake facilitator protein
gene:Smp_005790	0	1	2.7718395327449	2.77337660700994	1271.4819084667	458.453486442088	Guanine nucleotide-binding protein G(q) subunit alpha	GS-alpha
gene:Smp_005880	0	1	4.25544829634824	4.25884965907443	1621.14813567572	380.646342780611	phosphoenolpyruvate carboxykinase	Phosphoenolpyruvate carboxykinase, cytosolic [GTP
gene:Smp_005910	0	1	2.74354844818957	2.74654485708751	635.606049507148	231.413873477591	Protein tyrosine phosphatase type IVA 3	Protein tyrosine phosphatase type IVA, member 1
gene:Smp_005960	0	1	10.9306963287763	11.34715068179	107.605377776722	9.47391193477537	Hypothetical protein	T-cell surface glycoprotein CD4
gene:Smp_006000	0	1	0.357757331202581	0.357645926247656	820.007550596556	2292.80949105363	Eukaryotic translation initiation factor 3 subunit I	Eukaryotic translation initiation factor 3 subuni
gene:Smp_006550	0	1	0.297876562405049	0.297828761083068	1739.85445066603	5841.81818455453	Glutaredoxin-3	Thioredoxin-like protein 2
gene:Smp_006630	0	1	0.365821338259231	0.365714199928606	860.951616703872	2354.18247289809	Myb-binding protein 1A	Cyclic 3',5'-AMP specific phosphodiesterase RD1
gene:Smp_006680	0	1	0.315250404447471	0.315164391049925	997.869362923467	3166.20861879501	Programmed cell death protein 10	Programmed cell death protein 10
gene:Smp_006730	0	1	2.4017220485682	2.40248613744673	1752.87786045555	729.604141423706	DNA damage-regulated autophagy modulator protein 1	FGF-19, fibroblast growth factor-19
gene:Smp_006810	0	1	3.3335479326799	3.33518275561608	1893.38339269137	567.693041011203	LIM domain transcription factor LMO4-B	Rhombotin-2
gene:Smp_006850	0	1	0.186106257820367	0.186008428353134	615.458543195787	3308.81072734537	DNA-directed RNA polymerases I, II, and III subunit RPABC3	DNA-directed RNA polymerases I, II, and III 17.1 kDa polypeptide
gene:Smp_006860	0	1	6.61798573241883	6.62134492411468	4404.19243496152	665.142244058693	PDZ and LIM domain protein Zasp	PDZ and LIM domain protein 1
gene:Smp_007000	0	1	0.209547781097032	0.208238516528887	49.991667279555	240.10728527954	DNA replication complex GINS protein PSF1	DNA replication complex GINS protein PSF1
gene:Smp_007070	0	1	3.81772110456959	3.84587900169185	153.052435735791	39.7890773158638	Neuropeptide F receptor	Neurotensin receptor type 1, lysozyme chimera
gene:Smp_007210	0	1	2.59399654762636	2.59546554207999	1120.09234015628	431.551244792577	Rab GTPase-activating protein 1	Rabgap1L, RAB GTPase-activating protein 1-like
gene:Smp_007270	0	1	2.55608980903571	2.55739052920462	1216.80079320256	475.791712451404	Smoothelin-like protein 1	Smoothelin splice isoform L2
gene:Smp_007290	0	1	3.26432389861109	3.2760302354159	252.01327639673	76.9194720397277	Carbohydrate deacetylase	UPF0249 protein EF_3048
gene:Smp_007330	0	1	3.51714287983397	3.52126544593412	855.084714495309	242.827334368716	Hypothetical protein	CAMP-dependent protein kinase type II-beta regulatory subunit, CAMP-dependent protein kinase catalytic subunit alpha
gene:Smp_007380	0	1	0.420386264208811	0.420142949693841	398.044875975576	947.417241765307	UPF0428 protein CXorf56 homolog	Putative uncharacterized protein
gene:Smp_007450	0	1	2.10327660188701	2.10443882485129	794.513007172954	377.536259739386	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3	Putative thiosulfate sulfurtransferase YOR285W
gene:Smp_007540	0	1	0.475278100736431	0.474884133192774	251.54422797294	529.707062310911	F-box protein At2g34280	3'-5' exoribonuclease CSL4 homolog
gene:Smp_007650	0	1	4.22552623501166	4.22662065576233	4954.31790927651	1172.16236009152	Glycogen debranching enzyme	Periplasmic trehalase
gene:Smp_007670	0	1	0.065366295321857	0.0651924579744348	139.3926162241	2138.31428712485	Inversin-A	Ankyrin
gene:Smp_007690	0	1	8.35433343816095	8.79029087325392	58.9663228034823	6.69925725369665	Tyrosine 3-monooxygenase	Tyroh, tyrosine hydroxylase
gene:Smp_007760	0	1	8.53561268475342	8.55887505254612	1102.68791562663	128.826781569629	Alanine aminotransferase 2	Alanine aminotransferase 2
gene:Smp_007900	0	1	0.236063657764116	0.236039159698742	2927.40745672172	12402.2433399034	60S ribosomal protein L23	50S ribosomal protein L14P
gene:Smp_007960	0	1	0.307165639769659	0.307088109449821	1091.42043402719	3554.11795364366	4-hydroxyphenylpyruvate dioxygenase-like protein	4-hydroxyphenylpyruvate dioxygenase
gene:Smp_007970	0	1	0.416627942959097	0.416370028975713	374.553462823778	899.582758261728	Ribosome maturation protein SBDS	Ribosome maturation protein SBDS
gene:Smp_008070	0	1	0.323511268668614	0.323495489693468	5516.00224063748	17051.2702075362	Thioredoxin-2	Thioredoxin
gene:Smp_008140	0	1	0.372842318307875	0.372332740062642	182.242003084665	489.47691177145	Ribosome-recycling factor	Ribosomal RNA-processing protein 7
gene:Smp_008440	0	1	0.303556377984282	0.303425970924717	644.475023995464	2124.0172282275	DNA-directed RNA polymerases I, II, and III subunit RPABC5	DNA-directed RNA polymerases I, II, and III 8.3 K polypeptide
gene:Smp_008490	0	1	3.4489029305099	3.45119742311514	1464.96403964537	424.472827274208	Glycogenin-1	Glycogenin-1
gene:Smp_008545	0	1	0.421080933244328	0.421068263495577	7652.0360808679	18172.9247572838	heat shock protein 60	Groel protein
gene:Smp_008610	4.84057238736568e-14	0.999999999999952	2.34329111976625	2.343705525334	3021.49155841375	1289.18846190283	Plancitoxin-1	Cytochrome B559 subunit alpha
gene:Smp_008620	0	1	7.56334227438015	7.60251887124378	506.550205053056	66.6205751596487	Inactive rhomboid protein 1	Protein GLPG homolog
gene:Smp_008660	0	1	3.30779498809461	3.30833737340249	5598.52395808479	1692.24001146934	Severin	Macrophage capping protein
gene:Smp_008710	0	1	26.0116330309715	26.2587871809932	1056.8659638931	40.2384683168497	Immunoglobulin superfamily member 10	Leucine-rich repeat-containing protein 4C
gene:Smp_008850	0	1	3.4765278430284	3.49588300535038	177.891046897995	50.8787301507862	FMRFamide receptor	P2Y purinoceptor 12, soluble cytochrome B562
gene:Smp_009020	0	1	23.5141366326116	24.9781588418533	152.761826912226	6.10621648655073	Zinc finger protein Eos	Zinc finger protein 217
gene:Smp_009030	0	1	0.426885247883477	0.426788879624608	1009.46574083942	2365.27126442125	Ribonucleoside-diphosphate reductase large subunit	Ribonucleoside-diphosphate reductase large subuni
gene:Smp_009070	0	1	5.08367942827165	5.08899465344646	1555.01432101421	305.556114116682	Zinc finger protein 182	Wilms tumor 1
gene:Smp_009230	2.79446519068083e-05	0.999972055348093	3.09006831694474	3.10888228137079	137.349802524161	44.173018233677	E3 ubiquitin-protein ligase UBR4	Astexin1
gene:Smp_009390	0	1	0.392225455462701	0.392017372157891	455.3824221916	1161.65388158988	Prefoldin subunit 1	Prefoldin
gene:Smp_009430	0	1	0.293549852407216	0.293437452154471	733.498232107928	2499.69897280622	Very-long-chain 3-oxoacyl-CoA reductase	Short-chain dehydrogenase
gene:Smp_009540	0	1	3.29735010792803	3.29926299543578	1575.8945408333	477.643507166122	Tripartite motif-containing protein 3	Tripartite motif protein 45
gene:Smp_009600	0	1	0.334306950654226	0.334041373755719	333.001480087181	996.906867940761	serine:threonine protein kinase PLK1	Serine/threonine-protein kinase PLK1
gene:Smp_009630	1.99840144432528e-15	0.999999999999998	24.6415178493799	32.5664136889848	38.6290949487144	1.17647067858699	Homeobox protein SIX6	Maltose-binding periplasmic protein, homeobox Pro chimera
gene:Smp_009690	0	1	0.347627382905008	0.34761114211494	5553.37107923178	15975.8331373742	60S acidic ribosomal protein P0	60S acidic ribosomal protein P0
gene:Smp_009800	4.44089209850063e-16	1	2.06247783582988	2.06660974210422	211.340415743298	102.259147114395	Serine/threonine-protein kinase Nek10	Serine/threonine-protein kinase NEK2
gene:Smp_009830	0	1	0.27035991335751	0.270291126147362	1140.26077849657	4218.66633891503	Translocon-associated protein subunit beta	Beclin-1
gene:Smp_010230	0	1	4.05703873091358	4.05852509118421	3319.85408894803	817.987675105996	Guanine nucleotide-binding protein subunit beta	GT-beta
gene:Smp_010250	0	1	2.45392477591086	2.45466548427228	1916.28436606598	780.664343752421	Triple functional domain protein	RHOA/RAC/CDC42 exchange factor
gene:Smp_010260	0	1	0.499574579223759	0.499400567358741	571.185463338937	1143.75214340306	DNA repair protein complementing XP-A cells homolog	Nucleotide excision repair protein XPA (XPA-MBD)
gene:Smp_010400	0	1	0.308883520682008	0.308603260886011	302.657768329647	980.75659158	Reactive oxygen species modulator 1	Humanin
gene:Smp_010450	0	1	13.3518538031113	14.3373249330557	71.4612835316816	4.97498038270025	Uncharacterized protein C1orf194	Putative thioredoxin
gene:Smp_010550	0	1	43.1367597753036	43.2579447334637	5982.08791359574	138.278999869383	Kinesin-like protein KIN-UA	Protein (chorismate mutase)
gene:Smp_010720	0.000256845354676627	0.999743154645323	0.482937991117055	0.479604536878118	29.5773882762113	61.6812184959801	Elongation of very long chain fatty acids protein 7	Hypothetical protein
gene:Smp_010800	0	1	0.489702806762785	0.489066111263843	155.885718186696	318.752054037707	Trimethylguanosine synthase	Trimethylguanosine synthase homolog
gene:Smp_010820	0	1	15.2682083206874	15.3210498489533	1645.33817658586	107.381346729302	peptidyl-alpha-hydroxyglycine alpha-amidating lyase	Peptidyl-glycine alpha-amidating monooxygenase
gene:Smp_011000	1.02032276971808e-06	0.99999897967723	2.44308248259334	2.45144820220098	168.174430340591	68.5961529628039	lipase 1	Triacylglycerol lipase, gastric
gene:Smp_011010	0	1	0.334197109644941	0.333989553988242	426.09752380461	1275.80093095987	Pentatricopeptide repeat-containing protein At1g29710, mitochondrial	Ribosome recycling factor
gene:Smp_011030	0	1	0.314902650444473	0.314003950207797	95.1923699158641	303.178446683115	BRCT-containing protein 1	Heme-binding protein 2
gene:Smp_011560	0	1	6.67871810203679	6.68120940198436	6056.9484127083	906.556169129401	Tetraspanin-11	CD81 antigen
gene:Smp_011570	0	1	0.267653191625029	0.267636196989	4586.95041463583	17138.7793948604	40S ribosomal protein S4	RP5, S7, YS6, 40S ribosomal protein S4-A
gene:Smp_011640	0	1	2.16609401316422	2.16726931501553	855.198963838929	394.592072716008	Tryptophan synthase beta chain	2A peptide
gene:Smp_011680	0	1	4.78406289842494	4.78495210246667	8098.58591554223	1692.5034760215	Scavenger receptor class B member 1	Lysosome membrane protein 2
gene:Smp_011700	0	1	22.7390921110394	22.8853909880132	1352.47969139529	59.0883869186979	Tyrosine-protein kinase transforming protein ros	Tyrosine-protein kinase transmembrane receptor RO
gene:Smp_011830	0	1	18.4486630087441	18.4748385904991	4898.02271866699	265.109107518799	Urease accessory protein UreD 2	Conserved domain protein
gene:Smp_011870	0	1	0.0363405787856437	0.0361342812722313	67.121169926856	1857.81496740693	Protein GREB1	Conserved protein MTH11
gene:Smp_011960	0	1	0.133521746454561	0.133350991791309	269.116560675301	2018.17192021006	Inositol-pentakisphosphate 2-kinase	Inositol-pentakisphosphate 2-kinase
gene:Smp_011990	0	1	4.48936178690799	4.4921444613698	2240.32275858197	498.71233136038	Beta-galactosidase	Beta-galactosidase
gene:Smp_012000	0	1	23.7787126442485	29.0025056609559	50.288374768738	1.7242768709964	nicotinic acetylcholine receptor	5-hydroxytryptamine receptor 3A
gene:Smp_012010	0	1	2.34551927278777	2.34690732365487	904.796471218817	385.521402155986	Forkhead box protein O	Forkhead box protein O1
gene:Smp_012030	0	1	0.296423273273861	0.296168784031004	325.644088189183	1099.54574573684	Zinc finger protein 407	AART
gene:Smp_012070	0	1	0.445294426260219	0.445062622134546	423.572205641297	951.72619300981	RRP15-like protein	Parathyroid hormone-related protein
gene:Smp_012350	0	1	2.88172659971725	2.88315861903645	1506.77538736178	522.606195103878	venom allergen-like (VAL) 11 protein	Ancylostoma secreted protein 1
gene:Smp_012380	0	1	10.0125522263922	10.0588047259264	779.522418321176	77.4875197909887	Voltage-gated potassium channel subunit beta-3	Voltage-gated potassium channel subunit beta-2
gene:Smp_012400	0	1	0.28284157967407	0.282527605576744	256.649525471634	908.430521936595	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	Protein-tyrosine phosphatase mitochondrial 1
gene:Smp_012440	0	1	4.0409010824331	4.04176040166291	5688.43474710783	1407.40760564714	Solute carrier family 2, facilitated glucose transporter member 1	D-xylose-proton symporter
gene:Smp_012530	0	1	0.424530695987619	0.424349256370364	535.279474783144	1261.42610892994	Transcription elongation factor SPT4	Transcription elongation factor SPT4
gene:Smp_012570	0	1	3.25648946727541	3.25837045306368	1554.60721326764	477.104936948288	Vang-like protein 1	Cyclin-T1, protein TAT
gene:Smp_012750	0	1	0.216635085423668	0.216618654066687	4107.34040827439	18961.193622888	60S ribosomal protein L12	60S ribosomal protein L12, putative
gene:Smp_012780	0	1	7.66674706762068	7.67952755667519	1593.21174671389	207.453510607371	Sterile alpha and TIR motif-containing protein 1	Liprin-alpha-2
gene:Smp_012800	0	1	0.343559473909755	0.343436758534799	730.655159707705	2127.50006276945	Barrier-to-autointegration factor	Protein (barrier-TO-autointegration factor (BAF) )
gene:Smp_012810	0	1	4.25034456404767	4.25534976474257	1099.04236514511	258.265447590992	Four and a half LIM domains protein 3	Testin, TESS
