	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean	GFF_annotation	HHPred_annotation
transcript:Smp_005790.1	0.000138913852029909	0.99986108614797	2.06137476472625	2.06481237570901	365.597162073374	177.055561197943	Guanine nucleotide-binding protein G(q) subunit alpha	GS-alpha
transcript:Smp_006590.2	0.000552551404969792	0.99944744859503	2.94172151835588	3.04381289703136	33.1899858419582	10.897367491063	Zinc finger HIT domain-containing protein 2	Protein FON, zinc finger HIT domain containing protein 2
transcript:Smp_006630.2	4.77044892477352e-09	0.999999995229551	0.0313006422519557	0.0295176132109959	9.18673988689408	311.557870381475	Myb-binding protein 1A	Cyclic 3',5'-AMP specific phosphodiesterase RD1
transcript:Smp_006750.1	4.40982132178247e-05	0.999955901786782	0.39003076320925	0.380975267474582	14.7068395642148	38.6193831139488	DNA damage-regulated autophagy modulator protein 1	Hypothetical protein AT5G08430
transcript:Smp_006860.3	0	1	0.193985965728737	0.193953725567354	2780.76335672629	14337.2931303831	PDZ and LIM domain protein Zasp	PDZ and LIM domain protein 1
transcript:Smp_006930.1	8.19969072463067e-06	0.999991800309275	0.491937219700246	0.490876681389946	134.850725540186	274.724430566797	Beta-1,3-galactosyltransferase brn	Beta-1,3-N-acetylglucosaminyltransferase manic FR
transcript:Smp_007180.2	8.5974449781645e-11	0.999999999914026	3.27908942558148	3.29311666760668	306.834443752782	93.1675198768727	Calcium homeostasis endoplasmic reticulum protein	Splicing factor 4
transcript:Smp_007270.1	0	1	0.320091089981633	0.320022325890989	1814.63374682629	5670.35609640922	Smoothelin-like protein 1	Smoothelin splice isoform L2
transcript:Smp_007710.1	8.41869206757995e-06	0.999991581307932	2.27435716513342	2.27603977852433	988.562996014248	434.329067946865	Rapamycin-insensitive companion of mTOR	Cyclin-dependent kinase 5 activator 1
transcript:Smp_007710.2	0	1	157.451299865543	9129.6988307749	91.286988307749	0	Rapamycin-insensitive companion of mTOR	Cyclin-dependent kinase 5 activator 1
transcript:Smp_007710.3	0.00260757457314631	0.997392425426854	0.283474354141479	0.282768817175407	164.679363868354	582.406991779521	Hypothetical protein	ATP-dependent RNA helicase A
transcript:Smp_007960.2	7.09043934676856e-11	0.999999999929096	4.70196599485368	4.73272475119891	326.650762385129	69.011711499782	4-hydroxyphenylpyruvate dioxygenase-like protein	4-hydroxyphenylpyruvate dioxygenase
transcript:Smp_008290.2	0.000468477757695762	0.999531522242304	2.01822896580253	2.02024985212425	583.745139773365	288.941952729788	Trafficking protein particle complex subunit 9	Uncharacterized protein
transcript:Smp_008450.1	0.00320488807568875	0.996795111924311	0.421906016549459	0.414252818037962	17.9349814349771	43.3089121560368	Leucine-rich repeat and death domain-containing protein 1	LRR receptor-like serine/threonine-protein kinase
transcript:Smp_008660.1	0.000628828053520936	0.999371171946479	0.192046417500927	0.191905446299605	630.751796313992	3286.8263481943	Severin	Macrophage capping protein
transcript:Smp_008660.3	8.2618911712018e-11	0.999999999917381	0.412262848480331	0.411650837737837	226.702346992605	550.729428197127	Severin	Gelsolin
transcript:Smp_008830.3	0	1	332.146137413012	19322.8807387075	193.218807387075	0	Probable global transcription activator SNF2L1	Chromo domain-containing protein 1
transcript:Smp_009020.1	2.04331218611742e-10	0.999999999795669	3.07491521426465	3.10707551195528	114.951963824793	36.9900546759959	Zinc finger protein Eos	Zinc finger protein 217
transcript:Smp_009150.3	0.00148802934304693	0.998511970656953	8.987436157169	9.82899034096438	53.490309639878	5.43311346170565	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	3-oxoacyl-[acyl-carrier-protein] synthase 2
transcript:Smp_009540.1	0	1	12.6031711071036	13.1102696125593	172.025494416362	13.1121934788859	Tripartite motif-containing protein 3	Tripartite motif protein 45
transcript:Smp_009540.3	0.013154083198312	0.986845916801688	0.0679692503212221	0.066136904275954	19.2825075638432	291.695633564974	PE-PGRS family protein PE_PGRS18	NHL, brain tumor CG10719-PA
transcript:Smp_009550.2	0.000713333949092343	0.999286666050908	0.112007743829576	0.109759248269874	24.8488102281656	226.474880499938	DNA mismatch repair protein Mlh1	DNA mismatch repair protein MLH1
transcript:Smp_009560.1	9.88875648033627e-13	0.999999999999011	0.256446391626564	0.253660479859323	38.8157459337614	153.051864249779	Kelch-like protein 38	Kelch-like protein 7
transcript:Smp_009630.1	5.11761344079709e-07	0.999999488238656	0.341492709933524	0.337255167039143	30.0457218444371	89.1086400739375	Homeobox protein SIX6	Maltose-binding periplasmic protein, homeobox Pro chimera
transcript:Smp_010550.2	0.0217728745954238	0.978227125404576	0.37495096682009	0.370976456702378	33.4479170810181	90.1787882008109	Kinesin-like protein KIN-UA	Protein (chorismate mutase)
transcript:Smp_010620.2	0.00868345986295005	0.99131654013705	2.67878871882726	2.79235527359061	23.6621843974943	8.46749733759879	Ester hydrolase C11orf54 homolog	Hypothetical protein PTD012
transcript:Smp_011220.1	2.86121126791272e-10	0.999999999713879	0.484627342265052	0.484134345552121	290.235379469157	599.504126885902	Rab-3A-interacting protein	RAB-3A-interacting protein
transcript:Smp_011560.1	0	1	0.42536815723607	0.425353248925554	9402.26790912165	22104.6240491624	Tetraspanin-11	CD81 antigen
transcript:Smp_011680.1	0.00297268429981667	0.997027315700183	2.84635588480578	2.85629097882746	304.406334675903	106.567494006185	Scavenger receptor class B member 1	Lysosome membrane protein 2
transcript:Smp_011830.1	7.51247305978975e-05	0.999924875269402	2.88574124193847	2.88638342718734	4860.67936162901	1683.99681484149	Urease accessory protein UreD 2	Conserved domain protein
transcript:Smp_011830.2	6.01402261324324e-11	0.99999999993986	0.247571636681319	0.247225194048864	307.917605983558	1245.52489448449	Subtilisin-like protease 9	Conserved domain protein
transcript:Smp_012200.2	0.00186472211341804	0.998135277886582	0.438725910724498	0.437411364317559	107.095359782457	244.851858926689	Zinc finger protein 227	AART
transcript:Smp_012810.1	2.87537771370694e-11	0.999999999971246	0.499644918952041	0.499565080076607	1795.45956319236	3594.05538767088	Four and a half LIM domains protein 3	Testin, TESS
transcript:Smp_013060.1	0	1	7.27036633448344	7.45248099206157	147.143623518788	19.7355885731928	smad family member 1	SMAD 3
transcript:Smp_013060.2	0.000115116647452451	0.999884883352548	2.28113572395993	2.30032253581	88.0752375021508	38.2825594697675	Mothers against decapentaplegic homolog 5	Protein mothers against DPP
transcript:Smp_013360.1	0.00436825172487865	0.995631748275121	2.39168840410029	2.40103964559877	204.914619613065	85.33828651776	U1 small nuclear ribonucleoprotein 70 kDa	U1-70K
transcript:Smp_013540.1	0	1	0.0275326529833057	0.0142432855867808	0.587727136116663	41.9555375492444	Tyrosinase	Tyrosinase
transcript:Smp_013840.2	0.00369357991155828	0.996306420088442	3.97848692806391	3.98309038910087	1477.91862094801	371.04073612995	Serine/threonine-protein kinase MARK2	MAP/microtubule affinity-regulating kinase 3
transcript:Smp_014260.1	1.09906492906653e-07	0.999999890093507	0.351437915195235	0.349412887653681	64.1673251208489	183.661889013029	Beta-1,3-galactosyltransferase brn	Beta-1,3-N-acetylglucosaminyltransferase manic FR
transcript:Smp_014400.2	3.07694980605788e-11	0.999999999969231	2.52724010240093	2.53299298245029	385.626433619378	152.235362024782	Enhancer of polycomb homolog 2	PEPA1
transcript:Smp_015220.1	4.51362798764565e-05	0.999954863720124	2.17702838473885	2.18715930874625	145.717114873957	66.6184866818836	Transcription initiation factor TFIID subunit 4	Transcription initiation factor TFIID subunit 4
transcript:Smp_015820.1	8.21519647994373e-05	0.999917848035201	0.244592223784673	0.221834392877178	4.21280993968965	19.0258667333774	Palmitoleoyl-protein carboxylesterase NOTUM	Thermostable carboxylesterase EST50
transcript:Smp_016410.2	0	1	4.50756673786356	4.52515285369944	517.586508487626	114.372104919279	E3 SUMO-protein ligase RanBP2	RAN-specific GTPase-activating protein
transcript:Smp_017010.2	2.53796214383373e-05	0.999974620378562	209.919924959134	314.775337173001	359.666263470908	1.13264435931087	Eukaryotic translation initiation factor 4 gamma 3	EIF4GII
transcript:Smp_017520.2	0	1	0.496423931435084	0.496061637800475	395.41315132685	797.115036880792	Inositol polyphosphate 1-phosphatase	Inositol polyphosphate 1-phosphatase
transcript:Smp_017610.1	0	1	0.149542464571779	0.149424624436484	618.438648570388	4138.85701005746	Amiloride-sensitive amine oxidase [copper-containing]	Lysyl oxidase
transcript:Smp_018010.1	2.22044604925031e-16	1	2.03471345041961	2.03717172112163	491.735165702358	241.376212366826	Cytospin-A	Smoothelin splice isoform L2
transcript:Smp_018250.2	0	1	0.261036829128688	0.261026108213677	10318.0241283316	39528.7336913599	Troponin I 4	Troponin I, TNI
transcript:Smp_018360.3	8.71964484838728e-06	0.999991280355152	4.38131419213755	4.50977670604703	68.0647759486155	15.0849327174749	PI-PLC X domain-containing protein 2	PI-PLC, phosphatidylinositol-specific phospholipase C
transcript:Smp_018430.1	0.0415853643833057	0.958414635616694	2.27233532652155	2.32098604907132	34.8002299131716	14.9880349632433	Mitochondrial inner membrane protease subunit 1	Signal peptidase I
transcript:Smp_018620.2	0.00135326973856131	0.998646730261439	2.45872508432299	2.46140709604731	767.737300813511	311.903986941214	Paraplegin	Cell division protein FTSH
transcript:Smp_018950.3	0.0102617222762856	0.989738277723714	14.6879185476972	29.1761618142381	15.7978174689088	0.53180592942813	La-related protein 7	Lupus LA protein
transcript:Smp_019680.1	0.0111055431185657	0.988894456881434	0.086190144838486	0.0825370618430331	11.8304272536826	143.445885020483	WD repeat-containing protein 13	Serine/threonine-protein kinase VPS15
transcript:Smp_019730.1	2.67364685946347e-10	0.999999999732635	0.47969719753208	0.479665861600342	4567.44664580288	9522.15326291008	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	Tumor necrosis factor, alpha-induced protein 3
transcript:Smp_019840.2	2.17681428438254e-12	0.999999999997823	0.0108148294571641	0.000187340211577862	0	53.3688230288393	DNA ligase 1	DNA ligase I
transcript:Smp_019890.1	0	1	4.78136375187456	4.81621017969261	299.711360020465	62.2217857481035	Syntaxin	Syntaxin-1A
transcript:Smp_020120.2	0.000164074513998469	0.999835925486002	2.2000511271895	2.21809871164044	84.5731016997	38.1231548753053	Nuclear envelope phosphatase-regulatory subunit 1	Inositol-1-monophosphatase
transcript:Smp_020300.1	1.3177237079276e-12	0.999999999998682	2.90105334936915	2.90321589270479	1463.61860579219	504.130463501181	Segment polarity protein dishevelled homolog DVL-3	Segment polarity protein dishevelled homolog DVL-
transcript:Smp_020300.2	0.019760622155797	0.980239377844203	2.44403056456651	2.45837413542518	141.924885360518	57.7252662945953	Segment polarity protein dishevelled homolog DVL-3	Segment polarity protein dishevelled homolog DVL-
transcript:Smp_020450.2	3.28296756446633e-09	0.999999996717032	0.0792166346848601	0.0776462805294329	26.0997422276318	336.255202268568	UBX domain-containing protein 6	UBX domain-containing protein 2
transcript:Smp_020550.2	0	1	8.75766693894395	8.76709373457826	4137.55432591245	471.932521795279	Basement membrane-specific heparan sulfate proteoglycan core protein	Titin
transcript:Smp_021040.2	5.23422067466583e-06	0.999994765779325	5.57880410167149	5.891283739883	49.4965144923312	8.39334919827073	Protein FAM32A	Secreted protein of unknown function DUF1311
transcript:Smp_021280.1	0	1	0.00356792405612528	6.13637014289835e-05	0	162.952790169577	Protein ARV1	DNA-directed RNA polymerase
transcript:Smp_021790.1	0.0138104370873947	0.986189562912605	0.497992515888462	0.497546707238121	321.295106538957	645.768781900737	EF-hand calcium-binding domain-containing protein 10	CAMP-dependent protein kinase type I-beta regulat subunit, CAMP-dependent protein kinase catalytic subunit A
transcript:Smp_021910.2	4.16485812715361e-06	0.999995835141873	0.329134978396671	0.32728932098079	68.2141231384397	208.442029335978	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	Spermidine synthase
transcript:Smp_021960.1	3.45877865260968e-05	0.999965412213474	2.49319838546406	2.50932762981384	133.214141328369	53.081569130115	Importin-13	Cadmus
transcript:Smp_022340.1	2.93265411954735e-12	0.999999999997067	0.480642905953918	0.480615551417294	5233.06062373165	10888.2573652564	PDZ and LIM domain protein 3	ZAsp protein
transcript:Smp_022740.1	0	1	7.78157219814504	8.08669935700598	103.062519670479	12.7359319457921	Tumor necrosis factor alpha-induced protein 8-like protein 2	Tumor necrosis factor, alpha-induced protein 8- like protein 2
transcript:Smp_022870.1	5.87890929537593e-06	0.999994121090705	0.234568908421725	0.229504760420728	19.8836044533954	86.6705743677232	Protein lin-54 homolog	Protein MALE-specific lethal-2
transcript:Smp_023010.1	2.14625315964057e-07	0.999999785374684	0.424296054188148	0.42330560229445	141.094838638253	333.330352391796	ATPase inhibitor, mitochondrial	ATPase inhibitor
transcript:Smp_024010.1	1.20000342995752e-10	0.99999999988	5.07839776229134	5.33150129488439	49.2577765414759	9.23088241125415	Microsomal glutathione S-transferase 1	Microsomal glutathione S-transferase 1
transcript:Smp_024180.2	0.0335832892443124	0.966416710755688	3.13386768037607	3.1551521391741	181.394163304099	57.4845851427576	Placenta-specific gene 8 protein	Protein TAT
transcript:Smp_024660.1	0	1	2.0548162258897	2.05575647893478	1322.58169608592	643.35010108125	Protein sax-3	Deleted in colorectal cancer
transcript:Smp_024800.2	2.03946262100629e-08	0.999999979605374	3.01257121746582	3.05192928816136	89.4881367132299	29.3151016858088	eRF1 methyltransferase catalytic subunit mtq2	HEMK protein
transcript:Smp_025030.1	0	1	0.459382828492871	0.459202499051898	789.485235284356	1719.2646923512	Hypothetical protein	Cyclin-T1, protein TAT
transcript:Smp_025380.1	0.000149149271208349	0.999850850728792	0.471421738592673	0.471300065867812	1174.17258608865	2491.35945042986	16 kDa calcium-binding protein	Calmodulin-like domain protein kinase isoform 3
transcript:Smp_025560.2	1.31679889214809e-10	0.99999999986832	10.0032436515195	10.8387899883486	66.9678706253607	6.16946013322152	BUB3-interacting and GLEBS motif-containing protein ZNF207	ADR1
transcript:Smp_026300.1	0.000246754883897471	0.999753245116103	0.153695535523807	0.129222050940996	2.55265134214364	19.821378030935	rRNA biogenesis protein RRP36	Carnitine O-palmitoyltransferase 1, brain isoform
transcript:Smp_027040.4	5.09474948595656e-06	0.999994905250514	0.429358662593026	0.428516447254214	166.495908269102	388.553634688969	Receptor expression-enhancing protein 4	Frataxin, mitochondrial
transcript:Smp_027450.3	1.54798396323486e-12	0.999999999998452	2.90955034435316	2.94738739475654	85.2947337743439	28.9324912131003	Nicotinamide mononucleotide adenylyltransferase	FADR, fatty acid metabolism regulator protein
transcript:Smp_028030.1	0	1	2.93544505235629	2.93775935601135	1408.950421656	479.593756098312	SLIT-ROBO Rho GTPase-activating protein 3	RHO GTPase activating protein 15
transcript:Smp_028060.1	2.27612504977159e-06	0.99999772387495	0.461882674625484	0.461686394868198	725.879660291473	1572.24698734029	Uncharacterized protein ZK546.14	Transcriptional regulator, LACI family
transcript:Smp_028120.2	0.000354306462882148	0.999645693537118	5.82754890788892	6.03113671548354	82.0055422993415	13.5886873069526	Dynamin-like 120 kDa protein, mitochondrial	Dynamin-1, human dynamin 1
transcript:Smp_028120.3	0.000109251840730185	0.99989074815927	0.0446177450761662	0.0417062260774353	7.83838874013439	188.17266427565	Dynamin-like 120 kDa protein, mitochondrial	Zinc finger and BTB domain-containing protein 17
transcript:Smp_028130.1	6.45681924371644e-07	0.999999354318076	0.110321292604868	0.0983431163007902	4.1789823703461	42.5855829743463	Protein FAM78A	NTF2-like protein of unknown function
transcript:Smp_028140.2	0	1	216.835357031514	12594.6695512711	125.936695512711	0	F-BAR domain only protein 2	FCHO2, FCH domain only protein 2
transcript:Smp_028200.4	3.88248561522531e-07	0.999999611751438	3.35858255778824	3.36864085269787	452.995525697269	134.467240378554	IgA-specific serine endopeptidase autotransporter	Lipase chaperone
transcript:Smp_028650.2	0	1	3.95933280486584	3.9860970740168	252.750008621548	63.4003996787116	Zinc finger protein 518A	Rhogap domain, phosphatidylinositol 3-kinase
transcript:Smp_028930.2	0	1	0.472936056492593	0.472515157908403	339.321094510286	718.128008550544	Thioredoxin domain-containing protein 9	Phosducin, MEKA, PP33
transcript:Smp_029370.2	1.79123904597844e-08	0.99999998208761	4.69504886915156	4.82826509987193	76.7926532151196	15.896884072533	Protein IMPACT-B	RWD domain-containing protein 1
transcript:Smp_030780.2	6.45736112880879e-05	0.999935426388712	2.01186147675969	2.01231711887665	2562.79577245353	1273.54959377028	Ubiquitin conjugation factor E4 A	Ubiquitin conjugation factor E4
transcript:Smp_030780.3	2.08851169691826e-09	0.999999997911488	0.0165375275284661	0.01495965591654	5.33724157856415	357.434155694252	Ubiquitin conjugation factor E4 A	Ubiquitin conjugation factor E4
transcript:Smp_031690.2	0.000140485022360082	0.99985951497764	0.374312951894523	0.371881308334679	54.866154662598	147.55362697641	Coiled-coil domain-containing protein 43	Chelatase, putative
transcript:Smp_031770.1	0	1	0.42441739949336	0.424408962543602	16604.6050468165	39124.0814124443	Tropomyosin-2	Striated-muscle alpha tropomyosin
transcript:Smp_031770.2	2.44249065417534e-15	0.999999999999998	0.492752094746268	0.492716964049574	4079.92351053358	8280.47110420465	Tropomyosin-2	Striated-muscle alpha tropomyosin
transcript:Smp_031770.3	9.99200722162641e-16	0.999999999999999	0.468829784542035	0.468638732992986	747.20125058803	1594.41913695145	Tropomyosin II isoform 16	Striated-muscle alpha tropomyosin
transcript:Smp_032250.2	8.0790654457652e-05	0.999919209345542	2.37605906814535	2.3873723217026	166.519731238419	69.7444030834936	Isoleucine--tRNA ligase	Transesterase
transcript:Smp_032280.1	0	1	2.20266509793333	2.20308031550915	3659.48686956792	1661.07191508314	Hypothetical protein	Insulin-like growth factor 2 mRNA-binding protein 1
transcript:Smp_032500.2	6.77489378149154e-05	0.999932251062185	3.50290452047621	3.65438148340747	34.6184973253235	9.46588462850755	DNA replication licensing factor mcm7-A	Minichromosome maintenance protein MCM
transcript:Smp_033050.2	0	1	5.07322173828113	5.16554907835319	130.681183864839	25.2905405393428	DNA topoisomerase 1	Protein (topoisomerase I)
transcript:Smp_033250.1	1.01030295240889e-14	0.99999999999999	0.0502958380345224	0.0464852179208912	6.63400006220337	142.917157478538	Uridylate kinase	MBP, eosinophil granule major basic protein 1
transcript:Smp_033870.1	0	1	0.48021715194272	0.480111077386678	1349.18436552775	2810.16128967661	FYVE, RhoGEF and PH domain-containing protein 3	MSP, major sperm protein
transcript:Smp_034120.3	0	1	2.32456329074395	2.32682654211768	780.944986092413	335.620942812632	Synaptosomal-associated protein 25	Protein (SNAP-25B), protein (synaptobrevin 2)
transcript:Smp_034550.1	0	1	0.308222478963074	0.308195663839995	4559.67925158341	14794.7771646586	Alpha-actinin-2	Actinin
transcript:Smp_034610.1	5.38458166943201e-14	0.999999999999946	2.11331914894999	2.12365235552943	131.206987108034	61.7783556912598	Innexin unc-9	Neurotoxin III
transcript:Smp_034660.2	0.00290471827528738	0.997095281724713	3.21759902591913	3.25609233447883	107.56629030792	33.0284642870205	IQ motif and SEC7 domain-containing protein 1	IQ motif and SEC7 domain-containing protein 1
transcript:Smp_034660.4	0	1	10.4149873627994	10.6865782109456	212.444213875957	19.8704715300125	IQ motif and SEC7 domain-containing protein 1	IQ motif and SEC7 domain-containing protein 1
transcript:Smp_034680.1	1.03555523154331e-05	0.999989644447685	0.0974688750590082	0.0678461664661829	1.17545427223333	17.4626787669603	Stabilizer of axonemal microtubules 2	Spliceosomal protein SF3B155
transcript:Smp_034850.1	6.17172979389125e-13	0.999999999999383	0.330295345883073	0.329832254627852	273.536984300076	829.341831004876	TWiK family of potassium channels protein 18	Potassium channel subfamily K member 2
transcript:Smp_034850.2	0	1	0.402304454991438	0.402119935965768	746.983016358026	1857.62736026661	TWiK family of potassium channels protein 18	Potassium channel subfamily K member 2
transcript:Smp_034980.5	0	1	5.38315950500658	5.39741711319656	951.577331899602	176.294204759901	Serine/threonine-protein phosphatase 1 regulatory subunit 10	Serine/threonine-protein phosphatase 1 regulatory 10
transcript:Smp_035090.3	0	1	5.92828026244307	6.1207542705314	89.8673631145874	14.67403388571	Hypothetical protein	MMP-8
transcript:Smp_035190.1	0	1	4.01835620623548	4.02878370268523	668.774905911063	165.991690650533	Protein son of sevenless	SOS-1, SON of sevenless homolog 1
transcript:Smp_035250.1	0.000169231182758911	0.999830768817241	0.408199077213132	0.402968947269002	26.1391038832827	64.8811139692034	DENN domain-containing protein 1A	Protein (glutamate mutase)
transcript:Smp_035310.2	0.0254488041626413	0.974551195837359	2.24669762651003	2.25115803895458	360.829580839247	160.28064801102	Hypothetical protein	U1-70K
transcript:Smp_035310.3	0.0254488041626413	0.974551195837359	2.24669762651003	2.25115803895458	360.829580839247	160.28064801102	Hypothetical protein	RNA-binding protein 39
transcript:Smp_035380.1	6.25944714605087e-06	0.999993740552854	0.422581678116139	0.419166535699585	40.6334359157358	96.9525016651252	A-kinase anchor protein 14	MU-O-conotoxin mrvib
transcript:Smp_035460.3	1.10577346945639e-07	0.999999889422653	0.0155000342317289	0.000269755357865384	0	37.0606260633025	Nicotinate phosphoribosyltransferase	Nicotinate phosphoribosyltransferase
transcript:Smp_035500.1	0.00606340176188847	0.993936598238112	0.432029328131047	0.430911036173097	125.500597448029	291.258004093567	Parkin coregulated gene protein homolog	Transportin-1
transcript:Smp_035700.1	0	1	2.04082448187665	2.04218576538507	895.450083566207	438.471209077158	Adenosine deaminase	Adenosine deaminase
transcript:Smp_036180.3	0.000428147912091337	0.999571852087909	0.317475213037927	0.316698688521671	159.62627750483	504.053588801084	Diacylglycerol kinase theta	Diacylglycerol kinase DGKB
transcript:Smp_036180.4	0	1	7.95311605704783	8.01512486484563	515.406669321665	64.2955071521449	Diacylglycerol kinase theta	Diacylglycerol kinase, delta
transcript:Smp_037400.2	0.0101883788773901	0.98981162112261	2.4767603450923	2.55792806428193	26.6792934640119	10.4239499756433	Cell division cycle protein 23 homolog	Anaphase-promoting complex subunit CUT9
transcript:Smp_038530.1	0	1	0.324932715942582	0.324810504442801	1028.92306634409	3167.78492125472	Dual specificity protein phosphatase 14	Dual specificity protein phosphatase 9
transcript:Smp_039160.2	2.36340169657012e-10	0.99999999976366	2.59704737542915	2.60072372418376	647.904032303754	249.118358494558	Metastasis suppressor protein 1	Metastasis suppressor protein 1
transcript:Smp_039490.2	0.0118528616208649	0.988147138379135	2.1630080966578	2.16826882158057	274.88848117181	126.772472005211	Apoptotic chromatin condensation inducer in the nucleus	HOOK-like, isoform A
transcript:Smp_039590.1	0.00144377668248796	0.998556223317512	0.344913092644808	0.343112780572769	71.5895169199731	208.666333188317	EF-hand domain-containing family member B	Calmodulin-related protein, putative
