	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean	GFF_annotation	HHPred_annotation
gene:Smp_002230	7.1457284533949e-12	0.999999999992854	0.462426434294131	0.462138202676374	387.601888075178	838.725871283542	ESF1 homolog	Protein (SXL-lethal protein), RNA (5'-R(P*GP*UP*UP*GP*UP*UP*UP*UP*UP*UP*UP*U)-3
gene:Smp_002550	1.55431223447522e-15	0.999999999999998	0.362237092970857	0.362051118470889	558.337636742739	1542.16901356278	RNA-binding protein 8A	CG8781-PA, CG8781-PA protein
gene:Smp_002640	0	1	2.58798471647876	2.59513501739423	259.175611807874	99.8636520723001	homeobox protein SMOX-1	Maltose binding-A1 homeodomain protein chimera
gene:Smp_003000	0	1	0.335239712309447	0.334966155518427	366.045913590205	1092.80462487952	Cyclin-dependent kinase 9	Cell division protein kinase 9
gene:Smp_003230	0	1	12.8316711505925	12.8706268524106	1757.92854502781	136.575308950866	Endophilin-B1	SH3-containing GRB2-like protein 2
gene:Smp_003280	2.22044604925031e-15	0.999999999999998	0.338244388935418	0.335870924585706	42.1030078474601	125.374499713412	LIM/homeobox protein Lhx9	Rhombotin-2
gene:Smp_003410	0	1	0.323888699360879	0.323864177490434	4015.64548792069	12399.1862279907	60S ribosomal protein L23a	60S ribosomal protein L25
gene:Smp_003440	0	1	12.2778350315197	12.3745228767861	649.089463943851	52.444504339842	Stomatin-2	PH stomatin
gene:Smp_003700	2.86748402800185e-12	0.999999999997133	0.466399686367253	0.466247130100327	733.373486446744	1572.94013545485	30S ribosomal protein S18	28S ribosomal protein S18A, mitochondrial
gene:Smp_003930	0	1	3.62789528972933	3.65020415286278	193.354482056028	52.9636074910704	Intraflagellar transport protein 56	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110
gene:Smp_003970	0	1	0.220267074825718	0.220220193702681	1647.14298925045	7479.56288364877	Elongation factor 1-delta	Elongation factor 1-beta
gene:Smp_004000	0	1	0.24812640776383	0.247417357545306	117.975036841939	476.856449518744	Probable RNA-binding protein EIF1AD	Putative translation initiation factor EIF-1A
gene:Smp_004060	0	1	0.316833042522797	0.316233950201708	162.160002984272	512.806548889935	Cell division cycle protein 20 homolog	CDC20, WD repeat-containing protein SLP1
gene:Smp_004070	0.000875563564818882	0.999124436435181	2.73274119388548	2.76152279980009	74.7546394105891	27.0636998499529	Beta carbonic anhydrase 1	Beta-carbonic anhydrase
gene:Smp_004080	0	1	0.360918176384641	0.360746220486801	602.924467145142	1671.34352473417	Mitochondrial 2-oxoglutarate/malate carrier protein	Mitochondrial uncoupling protein 2
gene:Smp_004160	0	1	6.86456330469711	7.04489325646119	103.021770092043	14.615029271742	Cilia- and flagella-associated protein 77	RPS24, 30S ribosomal protein S24E
gene:Smp_004190	0	1	2.09287702387348	2.0934812127716	1702.9190513662	813.433675050546	Cationic amino acid transporter 4	Arginine/agmatine antiporter
gene:Smp_004200	0	1	0.300771441774466	0.300662541504472	868.147371726619	2887.47098576724	Desumoylating isopeptidase 2	PPPDE peptidase domain-containing protein 2
gene:Smp_004440	0	1	11.2954471546307	11.6657723985947	145.839292602079	12.4923262599954	Cadherin-like and PC-esterase domain-containing protein 1	Polymerase subunit PA
gene:Smp_004630	0	1	0.231844049664811	0.231388985481734	175.640082549726	759.101684525676	UDP-N-acetylglucosamine transporter	Multidrug transporter EMRE
gene:Smp_004640	0	1	0.480171280783662	0.479890161780194	399.05243050656	831.560351486689	DNA-directed RNA polymerases I and III subunit RPAC1	DNA-directed RNA polymerases I and III subunit RP
gene:Smp_004690	0	1	6.73255396327496	6.78754782411668	318.172123365906	46.8673306075842	E3 ubiquitin-protein ligase KCMF1	Dystrobrevin alpha
gene:Smp_004710	0	1	15.5578890754287	15.6815589136305	830.13274968251	52.9275143284347	Mu-conotoxin-like PnMKLT1-014	30S ribosomal protein S10
gene:Smp_004730	0	1	6.86169058869987	6.92603735056391	283.7230684564	40.9561476101192	high voltage-activated calcium channel cav2b	Navrh, ION transport protein
gene:Smp_004820	0	1	0.436608300949558	0.43648985923833	933.693229092492	2139.10780384038	Signal peptidase complex subunit 1	Villin
gene:Smp_004940	0	1	0.275496406562585	0.275437282325259	1517.83228947355	5510.65390381081	60S ribosomal protein L35	FI02809P, 60S ribosomal protein L35
gene:Smp_004990	0	1	0.434188691290498	0.434159780263018	3821.07428579353	8801.09148268151	T-complex protein 1 subunit zeta	T-complex protein 1 subunit zeta
gene:Smp_005080	0	1	0.461687123714377	0.461468491790552	510.956205189935	1107.25130663293	Probable 28S rRNA (cytosine-C(5))-methyltransferase	Methyltransferase
gene:Smp_005160	0	1	2.0360309139838	2.03651643988016	1954.22671350602	959.587808904021	Protein muscleblind	Muscleblind-like protein 1
gene:Smp_005180	0	1	0.475743487686024	0.475697913565592	2460.84325548155	5173.13283982504	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	Eukaryotic peptide chain release factor GTP-bindi ERF3A
gene:Smp_005230	0	1	2.73812721220824	2.73878469371936	3255.99331410946	1188.83968269912	Calumenin-B	Hypothetical protein LOC449832
gene:Smp_005280	0	1	0.277720554189624	0.277482946572168	379.313829236526	1367.00672633375	Ubiquitin carboxyl-terminal hydrolase 10-A	Ubiquitin carboxyl-terminal hydrolase 14
gene:Smp_005470	0.0288677501958242	0.971132249804176	2.52005901201645	2.61805728418873	18.2520743535847	6.96542963015939	Dynein light chain 1, cytoplasmic	Dynein light chain 1, cytoplasmic
gene:Smp_005500	0	1	0.376385933519973	0.376162825025014	472.819540241797	1256.97104327655	Putative polypeptide N-acetylgalactosaminyltransferase 9	Polypeptide N-acetylgalactosaminyltransferase 1
gene:Smp_005720	0	1	15.2020427977588	15.2256814366218	4113.70331174904	270.172541837141	Aquaporin-3	Glycerol uptake facilitator protein
gene:Smp_005790	0	1	2.56781377871812	2.56931742769371	1204.73382450425	468.886451453904	Guanine nucleotide-binding protein G(q) subunit alpha	GS-alpha
gene:Smp_005880	0	1	2.35414440757622	2.35515802342346	1414.93830333438	600.776991472278	phosphoenolpyruvate carboxykinase	Phosphoenolpyruvate carboxykinase, cytosolic [GTP
gene:Smp_005910	0	1	2.53809863721359	2.54098058938709	609.846556727403	239.998349246975	Protein tyrosine phosphatase type IVA 3	Protein tyrosine phosphatase type IVA, member 1
gene:Smp_005960	0	1	8.07355555868201	8.34723509413645	97.0112849624301	11.6131643015042	Hypothetical protein	T-cell surface glycoprotein CD4
gene:Smp_006000	0	1	0.394437221401192	0.394312014547176	857.620093332566	2174.99370694375	Eukaryotic translation initiation factor 3 subunit I	Eukaryotic translation initiation factor 3 subuni
gene:Smp_006550	9.72555369571637e-14	0.999999999999903	0.387782758241568	0.387721949269441	1755.43494425061	4527.57722470648	Glutaredoxin-3	Thioredoxin-like protein 2
gene:Smp_006630	0	1	0.402272080068352	0.402149828472323	884.221178418418	2198.75055095538	Myb-binding protein 1A	Cyclic 3',5'-AMP specific phosphodiesterase RD1
gene:Smp_006680	0	1	0.40150159738791	0.401380616381998	892.948204404273	2224.70680982829	Programmed cell death protein 10	Programmed cell death protein 10
gene:Smp_006750	0	1	2.49575938274711	2.49888217569099	538.251425963658	215.39088252253	DNA damage-regulated autophagy modulator protein 1	Hypothetical protein AT5G08430
gene:Smp_006810	0	1	3.11734217179849	3.1189906384397	1801.57139262302	577.606800262112	LIM domain transcription factor LMO4-B	Rhombotin-2
gene:Smp_006850	0	1	0.262278005873936	0.262146608618377	661.870540167856	2524.838761753	DNA-directed RNA polymerases I, II, and III subunit RPABC3	DNA-directed RNA polymerases I, II, and III 17.1 kDa polypeptide
gene:Smp_006860	0	1	5.91498761115005	5.91842792929509	3802.40151764744	642.459852310988	PDZ and LIM domain protein Zasp	PDZ and LIM domain protein 1
gene:Smp_007000	2.62555190555513e-06	0.999997374448094	0.278512706987695	0.276996873334203	59.2799304170121	214.035486157807	DNA replication complex GINS protein PSF1	DNA replication complex GINS protein PSF1
gene:Smp_007070	0	1	2.96902003016618	2.98819737998434	137.964794606028	46.1632533232964	Neuropeptide F receptor	Neurotensin receptor type 1, lysozyme chimera
gene:Smp_007210	0	1	2.80806092642425	2.80995166677532	1208.38508391835	430.031234590024	Rab GTPase-activating protein 1	Rabgap1L, RAB GTPase-activating protein 1-like
gene:Smp_007270	0	1	2.40665790060584	2.4081451450344	1024.26773025759	425.328868119994	Smoothelin-like protein 1	Smoothelin splice isoform L2
gene:Smp_007290	0	1	4.13222923180208	4.15896463561666	219.109460324992	52.6760599988013	Carbohydrate deacetylase	UPF0249 protein EF_3048
gene:Smp_007330	0	1	3.36543878414666	3.3705645338185	699.48706939791	207.521130877192	Hypothetical protein	CAMP-dependent protein kinase type II-beta regulatory subunit, CAMP-dependent protein kinase catalytic subunit alpha
gene:Smp_007450	0	1	2.53216904643114	2.53423543147628	845.018437977906	333.435120166144	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3	Putative thiosulfate sulfurtransferase YOR285W
gene:Smp_007650	0	1	2.92193634426443	2.92245033985216	4914.22228217551	1681.53517979734	Glycogen debranching enzyme	Periplasmic trehalase
gene:Smp_007670	0	1	0.0497286188254794	0.0495457909833295	115.79865417097	2337.39650562902	Inversin-A	Ankyrin
gene:Smp_007690	2.53493878110689e-08	0.999999974650612	7.63117837054384	8.16252282161271	45.800802634772	5.60233378894504	Tyrosine 3-monooxygenase	Tyroh, tyrosine hydroxylase
gene:Smp_007760	0	1	8.153460683709	8.1750106024101	1220.34958049559	149.269265782948	Alanine aminotransferase 2	Alanine aminotransferase 2
gene:Smp_007900	2.55351295663786e-14	0.999999999999974	0.303210863103728	0.303181918682166	3282.21784406826	10825.9253273277	60S ribosomal protein L23	50S ribosomal protein L14P
gene:Smp_007960	0	1	0.357184841801631	0.357086250780081	1046.99993596232	2932.08255095946	4-hydroxyphenylpyruvate dioxygenase-like protein	4-hydroxyphenylpyruvate dioxygenase
gene:Smp_008070	0	1	0.38998292667164	0.389964346172005	5757.54951757668	14764.3128774488	Thioredoxin-2	Thioredoxin
gene:Smp_008440	1.11022302462516e-16	1	0.432061448891182	0.431897876075155	674.363069755467	1561.40788860781	DNA-directed RNA polymerases I, II, and III subunit RPABC5	DNA-directed RNA polymerases I, II, and III 8.3 K polypeptide
gene:Smp_008490	0	1	3.87840170638253	3.88200602733347	1394.15149669844	359.124294713107	Glycogenin-1	Glycogenin-1
gene:Smp_008545	0	1	0.419939286726098	0.419925682987869	8052.22711351622	19175.3761212362	heat shock protein 60	Groel protein
gene:Smp_008620	0	1	6.06885191136497	6.10297314150225	407.703708522022	66.7957517326159	Inactive rhomboid protein 1	Protein GLPG homolog
gene:Smp_008660	0	1	3.90820349037588	3.90904572689324	6070.01397581338	1552.80477882266	Severin	Macrophage capping protein
gene:Smp_008710	0	1	29.1154158706642	29.5342339429515	891.597557049938	30.1789515323869	Immunoglobulin superfamily member 10	Leucine-rich repeat-containing protein 4C
gene:Smp_008850	3.28959082196434e-13	0.999999999999671	2.05643912337715	2.06368066002854	135.379557593911	65.5958663611449	FMRFamide receptor	P2Y purinoceptor 12, soluble cytochrome B562
gene:Smp_009020	0	1	24.1266512947157	26.0987884972664	137.623738356718	5.26356809574261	Zinc finger protein Eos	Zinc finger protein 217
gene:Smp_009030	0	1	0.397334269514238	0.397236665284853	1103.01693884163	2776.74007177563	Ribonucleoside-diphosphate reductase large subunit	Ribonucleoside-diphosphate reductase large subuni
gene:Smp_009070	0	1	4.74690802699689	4.7521310532238	1533.08182266206	322.601435899274	Zinc finger protein 182	Wilms tumor 1
gene:Smp_009230	0	1	3.02643944703409	3.04386381501574	159.185484989911	52.2904623940732	E3 ubiquitin-protein ligase UBR4	Astexin1
gene:Smp_009430	0	1	0.312761518941485	0.312616253482278	665.087926500588	2127.51190294639	Very-long-chain 3-oxoacyl-CoA reductase	Short-chain dehydrogenase
gene:Smp_009540	0	1	3.13564475360999	3.13772313491102	1449.92101048619	462.086542028814	Tripartite motif-containing protein 3	Tripartite motif protein 45
gene:Smp_009600	0	1	0.357484922393769	0.357209345044148	374.524258405731	1048.49072821987	serine:threonine protein kinase PLK1	Serine/threonine-protein kinase PLK1
gene:Smp_009630	5.27355936696949e-14	0.999999999999947	13.3443266152822	16.3245242270014	30.3982765548429	1.85273585263492	Homeobox protein SIX6	Maltose-binding periplasmic protein, homeobox Pro chimera
gene:Smp_009690	0	1	0.362867146366696	0.36285004460072	6079.17211054884	16753.9692291837	60S acidic ribosomal protein P0	60S acidic ribosomal protein P0
gene:Smp_009830	0	1	0.298483290726935	0.298406226085109	1221.56368236145	4093.65017052553	Translocon-associated protein subunit beta	Beclin-1
gene:Smp_010230	0	1	4.11176333517907	4.11380599893534	2818.25881635646	685.065770973603	Guanine nucleotide-binding protein subunit beta	GT-beta
gene:Smp_010250	0	1	2.2274043082047	2.22811969733489	1719.1359802449	771.558054580379	Triple functional domain protein	RHOA/RAC/CDC42 exchange factor
gene:Smp_010400	0	1	0.368801537312298	0.368435952969551	286.05800026115	776.428884303975	Reactive oxygen species modulator 1	Humanin
gene:Smp_010450	0	1	14.5214836124697	15.764925214292	77.0838615300791	4.88021422443465	Uncharacterized protein C1orf194	Putative thioredoxin
gene:Smp_010550	0	1	28.9303942787826	28.9943935874218	5690.41555225092	196.249512553472	Kinesin-like protein KIN-UA	Protein (chorismate mutase)
gene:Smp_010720	0	1	0.166409995596178	0.161644858684094	12.7065101668382	78.6594378674326	Elongation of very long chain fatty acids protein 7	Hypothetical protein
gene:Smp_010800	0	1	0.442813125515772	0.441975818558122	132.254598520005	299.247545246474	Trimethylguanosine synthase	Trimethylguanosine synthase homolog
gene:Smp_010820	0	1	13.9753787087638	14.0261225018679	1612.8760074156	114.981581401118	peptidyl-alpha-hydroxyglycine alpha-amidating lyase	Peptidyl-glycine alpha-amidating monooxygenase
gene:Smp_011000	0	1	2.44851492629392	2.45802884917087	168.288116599047	68.4587312176246	lipase 1	Triacylglycerol lipase, gastric
gene:Smp_011010	9.10382880192628e-15	0.999999999999991	0.425383777659185	0.425113308679909	406.147104017934	955.399053833579	Pentatricopeptide repeat-containing protein At1g29710, mitochondrial	Ribosome recycling factor
gene:Smp_011030	0	1	0.296500307373585	0.295342308193976	80.6782426603367	273.192451601827	BRCT-containing protein 1	Heme-binding protein 2
gene:Smp_011560	0	1	6.27170430962555	6.27469788432488	4969.14673194747	791.925615635161	Tetraspanin-11	CD81 antigen
gene:Smp_011570	1.30784272300843e-13	0.999999999999869	0.309879849433709	0.309861590332464	5266.73133079447	16997.0670663881	40S ribosomal protein S4	RP5, S7, YS6, 40S ribosomal protein S4-A
gene:Smp_011640	0	1	2.83101220286624	2.83406255817338	765.021247057709	269.931552578426	Tryptophan synthase beta chain	2A peptide
gene:Smp_011680	0	1	3.78519300678053	3.78582195352807	7539.281541977	1991.44433528669	Scavenger receptor class B member 1	Lysosome membrane protein 2
gene:Smp_011700	0	1	16.9219573194431	17.0200528923984	1242.31974762589	72.9821202642532	Tyrosine-protein kinase transforming protein ros	Tyrosine-protein kinase transmembrane receptor RO
gene:Smp_011830	0	1	14.5611760788105	14.5817433538047	4323.72414146629	296.506955247202	Urease accessory protein UreD 2	Conserved domain protein
gene:Smp_011870	0	1	0.0439941753385491	0.0437189549736673	68.2833908103728	1562.09025723412	Protein GREB1	Conserved protein MTH11
gene:Smp_011960	0	1	0.146431209228189	0.146227852957296	276.009645317145	1887.58965858046	Inositol-pentakisphosphate 2-kinase	Inositol-pentakisphosphate 2-kinase
gene:Smp_011990	0	1	4.41451026259475	4.41791039912191	1995.15079369555	451.597346788225	Beta-galactosidase	Beta-galactosidase
gene:Smp_012000	7.7715611723761e-16	0.999999999999999	11.0048290200892	12.5533102320545	36.4646324582513	2.89557883012517	nicotinic acetylcholine receptor	5-hydroxytryptamine receptor 3A
gene:Smp_012010	0	1	2.83113262198255	2.83433963558856	727.769501557973	256.762156879091	Forkhead box protein O	Forkhead box protein O1
gene:Smp_012030	2.61346499996762e-13	0.999999999999739	0.311914991570405	0.311627301083008	335.172259368592	1075.57695340146	Zinc finger protein 407	AART
gene:Smp_012070	6.66133814775094e-16	0.999999999999999	0.497703917440472	0.497444256477461	432.72944164057	869.915496185072	RRP15-like protein	Parathyroid hormone-related protein
gene:Smp_012350	0	1	3.26327532587404	3.26544745732487	1530.10092815925	468.566189987989	venom allergen-like (VAL) 11 protein	Ancylostoma secreted protein 1
gene:Smp_012380	0	1	12.2146704107382	12.3121114375179	637.234553793015	51.7475362298283	Voltage-gated potassium channel subunit beta-3	Voltage-gated potassium channel subunit beta-2
gene:Smp_012400	0	1	0.288436028237425	0.287993237240225	208.116025059892	722.666778990774	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	Protein-tyrosine phosphatase mitochondrial 1
gene:Smp_012440	0	1	2.8974501031979	2.8979314615387	5137.10046254647	1772.67183555275	Solute carrier family 2, facilitated glucose transporter member 1	D-xylose-proton symporter
gene:Smp_012530	2.64560595653052e-11	0.999999999973544	0.483869328210781	0.483656378753573	527.157930543849	1089.95377118484	Transcription elongation factor SPT4	Transcription elongation factor SPT4
gene:Smp_012570	0	1	3.81123390685496	3.81416497878495	1645.11503739678	431.309842363204	Vang-like protein 1	Cyclin-T1, protein TAT
gene:Smp_012580	0	1	2.25423034471956	2.25490223974845	1892.91115910561	839.459279748813	Rho guanine nucleotide exchange factor 16	PDZ-rhogef, RHO guanine nucleotide exchange factor 11
gene:Smp_012750	2.48905340782812e-11	0.999999999975109	0.269772972330513	0.269752303980615	4285.93104423812	15888.4216500448	60S ribosomal protein L12	60S ribosomal protein L12, putative
gene:Smp_012780	0	1	7.26700702356052	7.28164511664048	1401.94514233169	192.522747734142	Sterile alpha and TIR motif-containing protein 1	Liprin-alpha-2
gene:Smp_012800	0	1	0.456003050817419	0.455848236276405	720.324018546777	1580.19578171109	Barrier-to-autointegration factor	Protein (barrier-TO-autointegration factor (BAF) )
gene:Smp_012810	0	1	3.99804452310784	4.00385579349698	928.901531510939	231.994242765103	Four and a half LIM domains protein 3	Testin, TESS
gene:Smp_012920	0.00048334170173514	0.999516658298265	3.92726163951388	4.08941297387981	33.1894521411002	8.10839067199965	Neuropeptide receptor 18	Adenosine receptor A2A/soluble cytochrome B562 CH
gene:Smp_012930	0	1	0.110918715646757	0.11087604727812	1038.95782041108	9370.52444739915	Inosine-5'-monophosphate dehydrogenase 2	Inosine-5'-monophosphate dehydrogenase
gene:Smp_012980	0	1	0.367303984526472	0.367219001526195	1229.4576816934	3348.04028221203	Eukaryotic translation initiation factor 3 subunit J-A	Eukaryotic translation initiation factor 3 subuni
gene:Smp_013060	0	1	2.27595111898531	2.2777370038363	731.82486056237	321.289104914119	smad family member 1	SMAD 3
gene:Smp_013080	0	1	4.96328532714082	4.98113678017091	497.313712800181	99.8314086479103	IQ and AAA domain-containing protein 1	Spastin
gene:Smp_013150	0	1	0.253474737730482	0.252788609208197	123.677402121546	489.2818336351	Riboflavin kinase	Hypothetical protein FLJ11149
gene:Smp_013200	0	1	0.238683940725732	0.238667720262974	5037.59797059134	21107.1927882141	60S ribosomal protein L10	60S ribosomal protein UL16
gene:Smp_013210	0.000120540605464958	0.999879459394535	0.205259698013506	0.182359563383697	2.83606409934264	15.5968815176659	Inositol polyphosphate multikinase	Inositol polyphosphate multikinase alpha
gene:Smp_013440	0	1	0.362629910767269	0.362520255319097	947.584810643384	2613.89859335375	Zinc transporter ZIP14	Potassium voltage-gated channel subfamily E member
gene:Smp_013460	0	1	0.493871901248942	0.493812290303864	1885.48449223048	3818.23132216364	Secretory carrier-associated membrane protein 1	Selenoprotein S
gene:Smp_013470	0	1	0.268895968844159	0.268882735355832	6680.30112242167	24844.6908454489	40S ribosomal protein S2	40S ribosomal protein S2
gene:Smp_013540	0	1	0.0104550068081527	0.0104223317861435	141.932837689686	13619.0956475865	Tyrosinase	Tyrosinase
gene:Smp_013610	0	1	5.35396054688687	5.3880218548818	309.718699178744	57.4746775905548	Protein FAM161B	Splicing factor 1
