	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean	GFF_annotation	HHPred_annotation
transcript:Smp_000420.1	3.14518212363168e-07	0.999999685481788	0.0784651131945155	0.0743402103038261	8.73125748873983	117.574513858847	Pro His rich protein	SP-D, PSP-D, pulmonary surfactant-associated protein D
transcript:Smp_000430.1	0	1	0.0245517308033671	0.0234084053206771	10.501344346365	449.03145337402	Putative eggshell protein	Amyloid beta-peptide
transcript:Smp_000630.1	0.00684072893984322	0.993159271060157	0.422773460941942	0.420229334162399	50.1717707113109	119.405201728678	Isochorismatase domain-containing protein 2	F35G2.2, MAR1 ribonuclease
transcript:Smp_000650.3	2.25014651030753e-05	0.999977498534897	3.21532461772418	3.25204385285778	103.254778144875	31.7438086253447	E3 ubiquitin-protein ligase sina	E3 ubiquitin-protein ligase SIAH1
transcript:Smp_000660.1	1.29214861033233e-10	0.999999999870785	2.49200980748445	2.49224891418774	8185.07921424111	3284.20818849854	ornithine aminotransferase	Ornithine aminotransferase
transcript:Smp_000755.1	0	1	5.26200537301405	5.27380849042841	1002.28068967334	190.040642053542	Membrane metallo-endopeptidase-like 1	Neprilysin
transcript:Smp_000900.1	0	1	0.378869252327419	0.377822027263122	117.935764591747	312.162811749823	Cholecystokinin receptor	P2Y purinoceptor 12, soluble cytochrome B562
transcript:Smp_001900.1	0.0158192566291914	0.984180743370809	2.68108107237543	2.75720614962252	32.036619667732	11.6128594920693	Neurofascin	DOWN syndrome cell adhesion molecule (dscam) ISOF 1.30.30, N-terminal eight IG domains...
transcript:Smp_001950.1	0	1	0.471064968086884	0.470994716418064	1866.42898586692	3962.74992236446	CRISPR-associated endoribonuclease Cas2	Lipovitellin (LV-2)
transcript:Smp_001980.1	0.00272481033163174	0.997275189668368	2.70946043068533	2.73830581951764	85.4015650883951	31.181390121444	Homeobox protein ceh-31	Zinc finger homeobox protein 1B
transcript:Smp_002100.1	0	1	0.392487334476179	0.392445539226837	3002.33011332411	7650.32568540253	Vesicle transport protein SFT2B	Protein (E2)
transcript:Smp_002600.1	3.33066907387547e-16	1	2.95449743724527	2.95567926478226	2572.69731203375	870.41844691854	Lysosomal Pro-X carboxypeptidase	Lysosomal Pro-X carboxypeptidase
transcript:Smp_003140.1	2.25050936599747e-05	0.99997749490634	3.9776886459603	4.04578469849494	93.1034013059512	23.0049175611322	Sorting nexin-32	Sorting nexin-9
transcript:Smp_003190.1	0.0115439012628156	0.988456098737184	0.49164232272445	0.489308439765875	56.0851219010711	114.63163979659	E3 ubiquitin-protein ligase HACE1	Myotrophin, protein V-1
transcript:Smp_004190.1	0	1	2.00261876096004	2.00351030607571	1185.85747626584	591.884872050151	Cationic amino acid transporter 4	Arginine/agmatine antiporter
transcript:Smp_004480.2	5.71429917228805e-06	0.999994285700828	0.473486622921936	0.473176195552593	422.3904468214	892.681667060945	Protein Red	Mediator of RNA polymerase II transcription subunit 8
transcript:Smp_004630.2	5.9701450005889e-08	0.99999994029855	0.338639363488223	0.334232232237152	26.3887135209865	78.9731469702645	CMP-sialic acid transporter	Protein EMRE
transcript:Smp_005140.1	3.35321770350561e-10	0.999999999664678	0.184842683036131	0.177633231058412	10.5609853017205	59.5001785782663	Hemicentin-1	Thrombospondin 1
transcript:Smp_005160.2	5.49560397189452e-14	0.999999999999945	2.82466594872528	2.83253339282916	345.751644838468	122.057985399148	Protein muscleblind	Muscleblind-like protein 1
transcript:Smp_005190.3	9.11050845875394e-09	0.999999990889492	2.30338279633869	2.30486823017994	1064.41936677221	461.80788305057	Mitogen-activated protein kinase kinase kinase kinase 5	Serine/threonine-protein kinase 3
transcript:Smp_005470.1	0.000428086060918931	0.999571913939081	0.276531010706651	0.272509352948331	25.7916986708242	94.6718829947329	Dynein light chain 1, cytoplasmic	Dynein light chain 1, cytoplasmic
transcript:Smp_005790.1	1.4432899320127e-15	0.999999999999999	2.24915205269075	2.25393863750042	309.577710014141	137.344098671234	Guanine nucleotide-binding protein G(q) subunit alpha	GS-alpha
transcript:Smp_005790.2	0	1	3.2448624423196	3.24879491259753	976.099764438873	300.4428727418	Guanine nucleotide-binding protein G(q) subunit alpha	GS-alpha
transcript:Smp_006350.1	0	1	2.13821374228469	2.13881499248983	2131.04119273762	996.360046133271	Proteasome-associated protein ECM29 homolog	Alpharep-4
transcript:Smp_006630.1	6.94820867508383e-11	0.999999999930518	2.13679299693473	2.13871756493145	664.885879698436	310.875313049621	Myb-binding protein 1A	Cyclic 3',5'-AMP specific phosphodiesterase RD1
transcript:Smp_006630.2	0	1	0.0264311785318554	0.0247487497642975	7.5276386130089	304.556440114994	Myb-binding protein 1A	Cyclic 3',5'-AMP specific phosphodiesterase RD1
transcript:Smp_006750.1	1.46301370018698e-07	0.99999985369863	0.173137257524896	0.16694061400636	11.7144098855345	70.221021703849	DNA damage-regulated autophagy modulator protein 1	Hypothetical protein AT5G08430
transcript:Smp_006860.1	0.000182180750101457	0.999817819249899	0.435968375661365	0.435343191945549	206.708635799145	474.830630619075	PDZ and LIM domain protein Zasp	PDZ and LIM domain protein 1
transcript:Smp_006860.3	0	1	0.228746208753411	0.228712116687559	2723.22576479571	11906.8176934181	PDZ and LIM domain protein Zasp	PDZ and LIM domain protein 1
transcript:Smp_006930.1	6.63509802656392e-10	0.99999999933649	0.368929794769728	0.367960735630538	126.109124888026	342.741583730553	Beta-1,3-galactosyltransferase brn	Beta-1,3-N-acetylglucosaminyltransferase manic FR
transcript:Smp_007180.2	3.31182914536932e-07	0.999999668817085	3.4336394287222	3.45586546412518	199.150466121161	57.6196931083158	Calcium homeostasis endoplasmic reticulum protein	Splicing factor 4
transcript:Smp_007270.1	0	1	0.335119403096494	0.335047247639275	1624.91232852678	4849.82040444561	Smoothelin-like protein 1	Smoothelin splice isoform L2
transcript:Smp_007330.2	0	1	0.00723186500408346	0.000135805495407897	0	73.6247227331606	Hypothetical protein	CAMP-dependent protein kinase type II-beta regulatory subunit, CAMP-dependent protein kinase catalytic subunit alpha
transcript:Smp_007380.1	0	1	0.338452139222527	0.338015587066861	269.586304958509	797.575422902943	UPF0428 protein CXorf56 homolog	Putative uncharacterized protein
transcript:Smp_007550.1	0	1	2.55640419852915	2.55787232741474	1427.20417115331	557.959276205356	Leukotriene A-4 hydrolase	Leukotriene A-4 hydrolase
transcript:Smp_007710.1	0	1	3.9675359748606	3.97600464837153	733.286414695407	184.420472181602	Rapamycin-insensitive companion of mTOR	Cyclin-dependent kinase 5 activator 1
transcript:Smp_007710.3	1.765254609154e-14	0.999999999999982	0.332526314446546	0.331816539231228	164.224133584112	494.944633559313	Hypothetical protein	ATP-dependent RNA helicase A
transcript:Smp_007960.2	1.11022302462516e-16	1	9.63395650309097	9.86079373570085	197.532009003099	20.0230738374439	4-hydroxyphenylpyruvate dioxygenase-like protein	4-hydroxyphenylpyruvate dioxygenase
transcript:Smp_007960.3	0.0483347483893753	0.951665251610625	0.364687693873354	0.355220762751801	12.5366698023047	35.3107670213558	4-hydroxyphenylpyruvate dioxygenase-like protein	4-hydroxyphenylpyruvate dioxygenase
transcript:Smp_008220.3	0.0322758622822475	0.967724137717752	0.497816373583289	0.493199170332852	28.2230611515739	57.2347458346694	Probable palmitoyltransferase ZDHHC11	Phosphatidylinositol-3-phosphate binding FYVE domain of protein VPS27
transcript:Smp_008450.1	0.0441600620700175	0.955839937929982	0.446824694119463	0.4402132261483	19.3756357705432	44.0269226071651	Leucine-rich repeat and death domain-containing protein 1	LRR receptor-like serine/threonine-protein kinase
transcript:Smp_008660.1	0	1	0.13783858766326	0.13773083718786	580.022928639031	4211.34121576212	Severin	Macrophage capping protein
transcript:Smp_008660.3	0	1	0.281305992335548	0.280759007020517	194.147481638026	691.534979085345	Severin	Gelsolin
transcript:Smp_008830.2	0	1	776.529849432058	15028.0613385508	430.40957663944	0.01864105801427	Probable global transcription activator SNF2L1	Chromo domain-containing protein 1
transcript:Smp_008830.3	0	1	372.702735923679	19936.2603371542	199.352603371542	0	Probable global transcription activator SNF2L1	Chromo domain-containing protein 1
transcript:Smp_008900.3	0	1	2.01691548240584	2.01759057350556	1599.57599432235	792.809918633478	Eukaryotic translation initiation factor 4 gamma 2	Eukaryotic translation initiation factor 4 gamma
transcript:Smp_009020.1	6.94322377370327e-12	0.999999999993057	2.94405966735166	2.97307281772833	104.84093874874	35.2568586263738	Zinc finger protein Eos	Zinc finger protein 217
transcript:Smp_009540.1	0	1	16.9467390334169	17.9344126047593	152.394463670091	8.48787874455655	Tripartite motif-containing protein 3	Tripartite motif protein 45
transcript:Smp_009540.2	0	1	3.15450230720991	3.15705497236273	1402.43982805487	444.217243533007	Tripartite motif-containing protein 3	Tripartite motif protein 45
transcript:Smp_009540.3	0	1	0.0338241548096351	0.0325592800880118	13.0798759775053	402.022107040502	PE-PGRS family protein PE_PGRS18	NHL, brain tumor CG10719-PA
transcript:Smp_009550.2	8.74855743404623e-14	0.999999999999913	0.153740778153877	0.152118005964524	41.7421224475981	274.461928440446	DNA mismatch repair protein Mlh1	DNA mismatch repair protein MLH1
transcript:Smp_009560.1	3.89921525456582e-06	0.999996100784745	0.387514621113959	0.384996561305512	49.2777066276226	128.011160657875	Kelch-like protein 38	Kelch-like protein 7
transcript:Smp_009630.1	2.83561255165488e-06	0.999997164387448	0.348585783118742	0.344600770687479	29.6380320991905	86.0258844817516	Homeobox protein SIX6	Maltose-binding periplasmic protein, homeobox Pro chimera
transcript:Smp_009800.2	4.71752772401857e-08	0.999999952824723	0.374717760393169	0.36974814701775	24.4756463249626	66.212499077966	Serine/threonine-protein kinase Nek10	Serine/threonine-protein kinase NEK2
transcript:Smp_010400.1	0	1	0.459662657914174	0.459266220396435	329.453124905957	717.358511495506	Reactive oxygen species modulator 1	Humanin
transcript:Smp_010550.2	0.000189103959840176	0.99981089604016	0.188278523492617	0.184103167665218	18.8276568294232	102.31119885997	Kinesin-like protein KIN-UA	Protein (chorismate mutase)
transcript:Smp_010800.3	6.89825041533254e-09	0.99999999310175	0.208662244464236	0.19899480580323	8.56322610770991	43.0726627514453	Trimethylguanosine synthase	Trimethylguanosine synthase homolog
transcript:Smp_011000.1	0.0157274533290482	0.984272546670952	2.14875641909938	2.16260750878876	94.3903907446785	43.6411897609894	lipase 1	Triacylglycerol lipase, gastric
transcript:Smp_011220.1	0	1	0.452792128958087	0.452349797313619	294.520857212705	651.103052248155	Rab-3A-interacting protein	RAB-3A-interacting protein
transcript:Smp_011230.1	7.88258347483861e-15	0.999999999999992	0.2275037327011	0.22361148135965	23.3483244707345	104.449414734459	GPI-anchor transamidase	Legumain
transcript:Smp_011230.3	0.0399528907552009	0.960047109244799	47.4913619681474	2494.43713319933	24.9343713319933	0	GPI-anchor transamidase	Legumain
transcript:Smp_011560.1	0	1	0.409149760167727	0.409134278285654	8218.09345194076	20086.557877852	Tetraspanin-11	CD81 antigen
transcript:Smp_011680.1	8.3672322404027e-09	0.999999991632768	4.23665385602141	4.26698053684068	239.676797829702	56.1624610084977	Scavenger receptor class B member 1	Lysosome membrane protein 2
transcript:Smp_011830.1	0	1	4.38672139909995	4.38858388601944	4200.11988096169	957.048128555295	Urease accessory protein UreD 2	Conserved domain protein
transcript:Smp_011830.2	3.99680288865056e-15	0.999999999999996	0.172699243057889	0.172386571888767	240.056241456765	1392.59406902035	Subtilisin-like protease 9	Conserved domain protein
transcript:Smp_012200.2	7.53841433720481e-14	0.999999999999925	0.302418642051072	0.301124260826373	85.4042799061945	283.641272972137	Zinc finger protein 227	AART
transcript:Smp_012670.2	0.023076530296598	0.976923469703402	0.494945815041737	0.4870890697892	16.4699451579937	33.8235351378873	Polyribonucleotide nucleotidyltransferase	Hypothetical protein
transcript:Smp_012810.1	0	1	0.417989494316368	0.417908267812398	1576.02588400625	3771.23839442934	Four and a half LIM domains protein 3	Testin, TESS
transcript:Smp_012860.1	0	1	2.49571907755262	2.50159560294817	335.108648760446	133.951959465192	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	Hypothetical protein RV2118C
transcript:Smp_012860.2	1.77635683940025e-15	0.999999999999998	0.498275801172233	0.497274214084525	131.096537049804	263.640383101343	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	Hypothetical protein RV2118C
transcript:Smp_013060.1	2.68437187243009e-05	0.999973156281276	16.9724495017295	18.6525371837498	93.321783752614	4.99370447372302	smad family member 1	SMAD 3
transcript:Smp_013610.1	5.25961231234717e-08	0.999999947403877	2.08871243062939	2.09369272880216	240.882266090022	115.046169788506	Protein FAM161B	Splicing factor 1
transcript:Smp_013840.2	6.89517408725138e-07	0.999999310482591	6.91280108536813	6.92867464986771	1358.36929185962	196.041822390817	Serine/threonine-protein kinase MARK2	MAP/microtubule affinity-regulating kinase 3
transcript:Smp_013860.1	0	1	2.11798531508428	2.11911043931321	1108.2490554735	522.973151285251	Glutamate--cysteine ligase catalytic subunit	Glutamate-cysteine ligase
transcript:Smp_014170.1	0	1	2.78010572775868	2.78059886598164	5282.83110927125	1899.88328338672	Serine/threonine-protein kinase MARK2	MAP/microtubule affinity-regulating kinase 3
transcript:Smp_014260.1	1.77113576027566e-07	0.999999822886424	0.368992382661755	0.366989127547048	60.8320187133741	165.776978813355	Beta-1,3-galactosyltransferase brn	Beta-1,3-N-acetylglucosaminyltransferase manic FR
transcript:Smp_014670.1	3.83960641059389e-11	0.999999999961604	2.12674491134655	2.12717497800087	2933.2133015913	1378.91901708911	Alpha-adducin	Class II aldolase/adducin domain protein
transcript:Smp_014800.1	0	1	0.484734538969151	0.484509516009914	583.917040757462	1205.182099355	PRA1 family protein 3	40S ribosomal protein S21 (S21E)
transcript:Smp_015220.1	6.54254820441347e-05	0.999934574517956	5.93037925907675	6.08924237880075	99.455524650791	16.3246305604574	Transcription initiation factor TFIID subunit 4	Transcription initiation factor TFIID subunit 4
transcript:Smp_015670.1	0	1	0.491357744129431	0.491170958187065	703.958140268255	1433.23463414253	Transcription factor 15	DNA-binding protein inhibitor ID-3
transcript:Smp_015780.2	4.80488981935423e-11	0.999999999951951	0.449453763038055	0.44827422810144	110.113203554637	245.650349516496	AFG1-like ATPase	DNAI, primosome component (helicase loader)
transcript:Smp_016180.1	2.26696439398211e-12	0.999999999997733	2.04585702794784	2.04809337126335	504.11202377356	246.13210994814	nuclear receptor 2DBD-alpha	Hepatocyte nuclear factor 4-alpha
transcript:Smp_016410.2	8.21565038222616e-15	0.999999999999992	8.20415639027669	8.28312534630041	397.705983198736	48.0052076144027	E3 SUMO-protein ligase RanBP2	RAN-specific GTPase-activating protein
transcript:Smp_016510.1	0	1	0.406826630061203	0.405834893198811	127.747571980849	314.791842133034	Abscission/NoCut checkpoint regulator	Zinc finger FYVE domain-containing protein 19
transcript:Smp_016540.1	2.12967372070771e-07	0.999999787032628	0.173728351872435	0.161818469037363	5.89874877975556	36.5046748384528	DNA mismatch repair protein Mlh3	DNA mismatch repair protein PMS1
transcript:Smp_016600.1	1.59816604394791e-12	0.999999999998402	2.22840309763798	2.2290795954984	2130.34572508874	955.700926335231	Excitatory amino acid transporter	GLTPH, glutamate symport protein
transcript:Smp_016640.3	0.0105480778412083	0.989451922158792	0.114630232388833	0.109063898900723	9.12037386034894	83.7058212055116	Putative acid phosphatase 5	Prostatic acid phosphatase
transcript:Smp_017010.2	6.04029628519243e-05	0.999939597037148	45.700525462459	51.9796781954244	194.748868883282	3.73682713792611	Eukaryotic translation initiation factor 4 gamma 3	EIF4GII
transcript:Smp_017010.3	0	1	1127.25915745854	11510.9260554102	657.117931039395	0.0470873210266644	Eukaryotic translation initiation factor 4 gamma 3	EIF4GII
transcript:Smp_017520.1	1.5631024915308e-05	0.999984368975085	5.47964009303676	5.70699163290488	59.1740300337481	10.360442755253	Inositol polyphosphate 1-phosphatase	Inositol polyphosphate 1-phosphatase
transcript:Smp_017610.1	0	1	0.144637388717842	0.144531195276177	612.715897486806	4239.39240939666	Amiloride-sensitive amine oxidase [copper-containing]	Lysyl oxidase
transcript:Smp_017880.2	0.00189564071484749	0.998104359285153	2.13564943835283	2.168886495323	38.9941330486413	17.9734828298991	5-hydroxytryptamine receptor 1A	LCB, clathrin light chain B
transcript:Smp_018010.1	7.42502165418379e-07	0.999999257497835	2.30404903032028	2.30777690743239	424.88168474275	184.102980494064	Cytospin-A	Smoothelin splice isoform L2
transcript:Smp_018240.1	1.67643676718399e-14	0.999999999999983	2.7802728953651	2.78057640556051	8584.19744755528	3087.19430425463	Transitional endoplasmic reticulum ATPase	Transitional endoplasmic reticulum ATPase
transcript:Smp_018240.2	7.79157275365705e-07	0.999999220842725	0.284385207726488	0.284234732592278	711.439030223441	2503.02340388728	Transitional endoplasmic reticulum ATPase	Transitional endoplasmic reticulum ATPase
transcript:Smp_018250.2	0	1	0.255281088436749	0.255270141410789	9140.03489998784	35805.3718965038	Troponin I 4	Troponin I, TNI
transcript:Smp_018310.2	8.51387849110097e-10	0.999999999148612	0.439581927127579	0.437516689075692	62.4768617083228	142.811664335443	Estrogen receptor	Protein transport protein SEB2
transcript:Smp_018360.1	0	1	0.388806199522017	0.388658408840246	845.954291780378	2176.61675639704	PI-PLC X domain-containing protein 1	1-phosphatidylinositol phosphodiesterase
transcript:Smp_018360.3	0.0106998646835464	0.989300135316454	4.10426672464127	4.28554389017318	38.6154854401194	9.00297161573546	PI-PLC X domain-containing protein 2	PI-PLC, phosphatidylinositol-specific phospholipase C
transcript:Smp_018760.1	0	1	2.0510766893084	2.05133839467494	4336.20852465178	2113.83846883778	Neutral alpha-glucosidase AB	Maltase-glucoamylase, intestinal
transcript:Smp_018950.2	0.0295139261231138	0.970486073876886	0.329940847896149	0.326516875163845	33.6210597992272	102.98945380266	Probable DNA polymerase	BH3976 protein
transcript:Smp_018980.1	6.551970067048e-06	0.999993448029933	2.462909531111	2.46896018225456	314.172157057833	127.24282461661	Hypothetical protein	U-shaped transcriptional cofactor
transcript:Smp_019310.1	2.92546963820417e-06	0.999997074530362	0.481358677757007	0.481215951480841	920.344778643068	1912.55082806663	Probable dynein light chain	 13 3pie_A 5'->3' exoribonuclease   20.4      36  0.0011   30.6   0.0   26   64-89    194-224 (1155)
transcript:Smp_019620.1	5.31109570819366e-05	0.999946889042918	0.149779810877357	0.111343726998892	1.28631370009076	11.6324493326298	Probable LRR receptor-like serine/threonine-protein kinase At1g56140	BH3987
transcript:Smp_019680.1	0.0195101725800394	0.980489827419961	0.0982771586764139	0.0941876742894877	10.9207677127891	116.043058908676	WD repeat-containing protein 13	Serine/threonine-protein kinase VPS15
transcript:Smp_019730.1	0	1	0.440319012844061	0.440283770196174	3680.06589515924	8358.40823903603	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	Tumor necrosis factor, alpha-induced protein 3
transcript:Smp_019790.2	0	1	3.0732661317587	3.07691257436918	920.763692853875	299.242471624953	Insulin-like growth factor 1 receptor (Fragment)	Tyrosine-protein kinase transmembrane receptor RO
transcript:Smp_019840.2	0	1	0.00968437161775477	0.000182302439175271	0	54.8439012710943	DNA ligase 1	DNA ligase I
transcript:Smp_019890.1	7.20466908354922e-10	0.999999999279533	7.83747613426084	7.95078057146818	252.518703453188	31.7514982809865	Syntaxin	Syntaxin-1A
transcript:Smp_019990.1	0	1	0.460939333336	0.460755641347027	711.646080483323	1544.53122016343	Clathrin adaptor complex small subunit-like protein	AP-1 complex subunit sigma-3
transcript:Smp_020070.1	1.66579086979812e-06	0.99999833420913	2.03434047823453	2.03449589493627	7126.46434937781	3502.81070714183	Sporulation-specific protein 15	Tropomyosin
transcript:Smp_020070.2	2.49593310464036e-07	0.99999975040669	2.22987182298326	2.23073423622411	1674.33266645602	750.5691766975	Sporulation-specific protein 15	Tropomyosin
transcript:Smp_020120.1	0.000566137805863121	0.999433862194137	0.437734560573722	0.437114954621226	208.76262357555	477.604918840874	Nuclear envelope phosphatase-regulatory subunit 1	Inositol-1-monophosphatase
transcript:Smp_020270.2	0.00144753879562298	0.998552461204377	14.2801696786343	17.1526254019372	41.728127331911	2.42333754185509	Muscle calcium channel subunit alpha-1	Sodium channel protein type 2 subunit alpha
transcript:Smp_020300.1	0	1	5.82284425039003	5.8356081726916	1160.52243993566	198.860864114302	Segment polarity protein dishevelled homolog DVL-3	Segment polarity protein dishevelled homolog DVL-
transcript:Smp_020300.2	3.27753765343441e-05	0.999967224623466	2.65140991030132	2.67576151045873	95.4951652275197	35.6827046204302	Segment polarity protein dishevelled homolog DVL-3	Segment polarity protein dishevelled homolog DVL-
transcript:Smp_020300.3	0.0242716998908823	0.975728300109118	2.38485752401614	2.39428710929938	185.062037035126	77.2873451330497	Segment polarity protein dishevelled homolog DVL-3	Segment polarity protein dishevelled homolog DVL-
transcript:Smp_020340.1	0	1	2.19333044278126	2.19453684501682	1142.50928411871	520.609777568578	Lysosomal alpha-glucosidase	Maltase-glucoamylase, intestinal
transcript:Smp_020550.1	5.78881886870164e-09	0.999999994211181	4.01106684919487	4.06163347145347	127.284388115038	31.3306881762487	Basement membrane-specific heparan sulfate proteoglycan core protein	Vascular endothelial growth factor receptor 2
transcript:Smp_020550.2	0	1	12.6102958167021	12.6339332079766	3266.12696742955	258.510993712981	Basement membrane-specific heparan sulfate proteoglycan core protein	Titin
transcript:Smp_020760.2	0.000334281557939464	0.999665718442061	0.482315327655948	0.481502179045315	161.331360493825	335.06919073953	Ankyrin-3	2-5A-dependent ribonuclease
transcript:Smp_021100.1	0	1	2.10372031136035	2.10499997895504	955.567760944413	453.946185509694	Protein Smaug homolog 2	RNA-binding protein smaug
transcript:Smp_021170.1	3.12689450987502e-06	0.99999687310549	9.51127198058213	9.68070433297245	255.941194057899	26.4293152868154	Vacuolar protein sorting-associated protein 13A	ADP, ATP carrier protein 2
transcript:Smp_021220.1	5.06374384645625e-08	0.999999949362562	0.444884643361422	0.444814164409372	1843.9627027649	4145.48007272137	Contactin-5	Hepatitis A virus cellular receptor 1 homolog
transcript:Smp_021280.1	0	1	0.0160376387829515	0.0136231302698267	2.9119900329462	214.477417727921	Protein ARV1	DNA-directed RNA polymerase
transcript:Smp_021390.2	9.0674012085401e-06	0.999990932598791	0.393725437240281	0.392214767843018	82.8368371795886	211.218245267775	IQ domain-containing protein E	Cellular tumor antigen P53
transcript:Smp_021830.3	0.00126634806868164	0.998733651931318	8.75715867915015	14.411270236514	10.3962112997236	0.712088416145113	Phosphatidylserine decarboxylase proenzyme, mitochondrial	DNA polymerase processivity factor component A20, uracil-DNA glycosylase
transcript:Smp_021960.4	0.000317701309972773	0.999682298690027	0.155696657896754	0.153747912655406	35.0494214157593	228.021852987414	Importin-13	Cadmus
transcript:Smp_022070.1	1.52855150759024e-09	0.999999998471448	2.79651196575438	2.83081977045617	78.0091978297029	27.550637608918	Hypothetical protein	Thioredoxin reductase 1
transcript:Smp_022470.3	0.000343638876985297	0.999656361123015	0.44548597899217	0.441191182307198	29.971186934972	67.9450909838819	Mating-type switching protein swi10	Fanconi anemia group M protein
transcript:Smp_022740.1	1.33226762955019e-15	0.999999999999999	15.0820380234275	16.4540242217823	88.8773539392353	5.39216501088919	Tumor necrosis factor alpha-induced protein 8-like protein 2	Tumor necrosis factor, alpha-induced protein 8- like protein 2
transcript:Smp_022870.1	1.13061987550012e-06	0.999998869380124	0.17493077583203	0.169126988182993	12.6444672023203	74.8122819922057	Protein lin-54 homolog	Protein MALE-specific lethal-2
transcript:Smp_023010.1	5.89965337083331e-06	0.999994100346629	0.395029136229979	0.393908759763972	111.938478558621	284.189007469901	ATPase inhibitor, mitochondrial	ATPase inhibitor
transcript:Smp_024660.1	4.71139991464753e-08	0.999999952886001	2.38701772967563	2.38856714539465	1125.38138134239	471.147523669467	Protein sax-3	Deleted in colorectal cancer
transcript:Smp_024800.2	9.85166417055705e-06	0.999990148335829	3.2371078610873	3.30117367887239	60.6609784686459	18.3686084497589	eRF1 methyltransferase catalytic subunit mtq2	HEMK protein
transcript:Smp_025030.1	0	1	0.412936800186503	0.41276391893297	737.708640586029	1787.2553270981	Hypothetical protein	Cyclin-T1, protein TAT
transcript:Smp_025380.1	1.62092561595273e-14	0.999999999999984	0.307053516264049	0.306952532304687	1108.57908205095	3611.58777287827	16 kDa calcium-binding protein	Calmodulin-like domain protein kinase isoform 3
transcript:Smp_025560.2	0.0154969859249025	0.984503014075098	3.39865249793689	3.49783655861824	44.5122432515208	12.7185087525955	BUB3-interacting and GLEBS motif-containing protein ZNF207	ADR1
transcript:Smp_026190.1	0.00183770466475652	0.998162295335243	2.63927873293705	2.64567005697994	357.139235939782	134.983868565558	Probable U3 small nucleolar RNA-associated protein 11	Fibrinogen alpha subunit
transcript:Smp_026250.2	0.0219479558998882	0.978052044100112	3.82337492872835	3.86311390722928	144.447948882288	37.3841727713374	N-alpha-acetyltransferase 25, NatB auxiliary subunit	Protein CSD3, chitin biosynthesis protein CHS6
transcript:Smp_026440.1	9.80429526453719e-08	0.999999901957047	0.444013077188133	0.44235471470082	78.0462795840798	176.446307551446	Protein dpy-30 homolog	Protein DPY-30 homolog
transcript:Smp_026820.1	7.1974292692456e-07	0.999999280257073	0.415414683489429	0.413939353830611	86.3171935509952	208.540341377596	Coiled-coil domain-containing protein 171	CT398
