	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.genes.results_Mean	GFF_annotation	HHPred_annotation
gene:Smp_006350	0	1	2.12230818887119	2.12285689683064	2131.8182374378	1004.21606941643	Proteasome-associated protein ECM29 homolog	Alpharep-4
gene:Smp_006860	0	1	0.393005992215687	0.392986541267641	6021.1743859884	15321.5945683552	PDZ and LIM domain protein Zasp	PDZ and LIM domain protein 1
gene:Smp_007180	0	1	2.12296355392893	2.12437463472351	830.042395511616	390.717879134015	Calcium homeostasis endoplasmic reticulum protein	Regulation of nuclear PRE-mRNA domain-containing 1B
gene:Smp_007270	0	1	0.332580471057082	0.332513432607073	1625.33200597513	4888.03916310185	Smoothelin-like protein 1	Smoothelin splice isoform L2
gene:Smp_007380	0	1	0.335798885892553	0.335393265510394	269.63649996105	803.961121932658	UPF0428 protein CXorf56 homolog	Putative uncharacterized protein
gene:Smp_007550	0	1	2.53716820194685	2.53851032475026	1427.4655898523	562.318061436086	Leukotriene A-4 hydrolase	Leukotriene A-4 hydrolase
gene:Smp_008140	0	1	0.496563187718017	0.495770349914571	154.551665386554	311.750607331979	Ribosome-recycling factor	Ribosomal RNA-processing protein 7
gene:Smp_008450	0.0391949036339472	0.960805096366053	0.442883993291408	0.436724519132078	19.3841251545378	44.3981435891911	Leucine-rich repeat and death domain-containing protein 1	LRR receptor-like serine/threonine-protein kinase
gene:Smp_009020	5.69422287099997e-12	0.999999999994306	2.92379820575964	2.95037400922998	104.850229782055	35.5313345745351	Zinc finger protein Eos	Zinc finger protein 217
gene:Smp_009630	2.35524270009169e-06	0.9999976447573	0.345700656066346	0.341996889199629	29.6530373062475	86.7248161431164	Homeobox protein SIX6	Maltose-binding periplasmic protein, homeobox Pro chimera
gene:Smp_010400	0	1	0.456184879368487	0.455815574643768	329.536114167379	722.971250530827	Reactive oxygen species modulator 1	Humanin
gene:Smp_011000	0.0171787056472792	0.982821294352721	2.13423656525361	2.1468941321397	94.4449367387451	43.9860850070453	lipase 1	Triacylglycerol lipase, gastric
gene:Smp_011220	0	1	0.451962808436772	0.451552766362875	296.303021892229	656.199072261794	Rab-3A-interacting protein	RAB-3A-interacting protein
gene:Smp_011560	0	1	0.40608266650068	0.406068263363128	8221.06404623497	20245.5368401953	Tetraspanin-11	CD81 antigen
gene:Smp_012810	0	1	0.414786584429548	0.414710999225322	1576.45254326018	3801.34213728356	Four and a half LIM domains protein 3	Testin, TESS
gene:Smp_013610	6.16405998465908e-08	0.9999999383594	2.07316600219933	2.07770967450375	240.928046884883	115.953288731584	Protein FAM161B	Splicing factor 1
gene:Smp_013860	0	1	2.10193725197987	2.10296360285615	1108.53514281043	527.12472610979	Glutamate--cysteine ligase catalytic subunit	Glutamate-cysteine ligase
gene:Smp_014170	0	1	2.75975717410606	2.76020846420667	5284.43570726527	1914.49963787407	Serine/threonine-protein kinase MARK2	MAP/microtubule affinity-regulating kinase 3
gene:Smp_014260	1.55541276747329e-07	0.999999844458723	0.36593610700766	0.364073588999882	60.8430481515815	167.134912430331	Beta-1,3-galactosyltransferase brn	Beta-1,3-N-acetylglucosaminyltransferase manic FR
gene:Smp_014800	0	1	0.489838024612123	0.489664665270641	707.479864627855	1444.8356562346	PRA1 family protein 3	40S ribosomal protein S21 (S21E)
gene:Smp_015670	0	1	0.487657178187675	0.487483037723888	704.165786473447	1444.503412736	Transcription factor 15	DNA-binding protein inhibitor ID-3
gene:Smp_016180	5.24624788056371e-12	0.999999999994754	2.03028658256035	2.03232530468525	504.249225285515	248.10934591525	nuclear receptor 2DBD-alpha	Hepatocyte nuclear factor 4-alpha
gene:Smp_016510	0	1	0.403566669279793	0.402643816319001	127.754749780691	317.304570850052	Abscission/NoCut checkpoint regulator	Zinc finger FYVE domain-containing protein 19
gene:Smp_016540	1.76211114810698e-07	0.999999823788885	0.171524711300536	0.160476948915992	5.89851731426029	36.8084798762178	DNA mismatch repair protein Mlh3	DNA mismatch repair protein PMS1
gene:Smp_016600	2.90334423169725e-12	0.999999999997097	2.21250551487759	2.21312380274111	2130.87165071712	962.828883246332	Excitatory amino acid transporter	GLTPH, glutamate symport protein
gene:Smp_017610	0	1	0.143584375850584	0.143485953580087	612.991038446797	4272.19242227159	Amiloride-sensitive amine oxidase [copper-containing]	Lysyl oxidase
gene:Smp_018010	9.55690920956265e-07	0.999999044309079	2.28737062870621	2.29077749371022	424.993198655896	185.517926576382	Cytospin-A	Smoothelin splice isoform L2
gene:Smp_018250	0	1	0.391379571631161	0.391373102421518	18077.8448356398	46190.8363402003	Troponin I 4	Troponin I, TNI
gene:Smp_018310	6.87388652964582e-06	0.99999312611347	0.495807524308481	0.495474272184859	368.038593681964	742.810796847847	rRNA-processing protein FYV7	EB1, zebra, BZLF1 trans-activator protein
gene:Smp_018760	0	1	2.03567860402011	2.03591729914269	4337.11772188011	2130.29643420853	Neutral alpha-glucosidase AB	Maltase-glucoamylase, intestinal
gene:Smp_018980	6.88738103826747e-06	0.999993112618962	2.44510012035137	2.45063368565632	314.208619359282	128.209334125054	Hypothetical protein	U-shaped transcriptional cofactor
gene:Smp_019310	1.86218315334497e-06	0.999998137816847	0.477810437614905	0.477677402770291	920.562710693903	1927.17496909219	Probable dynein light chain	 13 3pie_A 5'->3' exoribonuclease   20.4      36  0.0011   30.6   0.0   26   64-89    194-224 (1155)
gene:Smp_019730	0	1	0.436940296301425	0.436907483682908	3680.97172566004	8425.07279929481	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	Tumor necrosis factor, alpha-induced protein 3
gene:Smp_019990	0	1	0.457393900219123	0.457222755794756	711.711971609611	1556.60974954085	Clathrin adaptor complex small subunit-like protein	AP-1 complex subunit sigma-3
gene:Smp_020070	1.82012379867924e-06	0.999998179876201	2.0540863053129	2.05420708645691	8802.00035029468	4284.86001545514	Sporulation-specific protein 15	Tropomyosin
gene:Smp_020120	0.00321079696402138	0.996789203035979	0.468017407902025	0.467506927795012	239.193356353767	511.647351222505	Nuclear envelope phosphatase-regulatory subunit 1	Inositol-1-monophosphatase
gene:Smp_020300	0	1	4.12633657040623	4.13050122497984	1522.35965937339	368.557778207309	Segment polarity protein dishevelled homolog DVL-3	Segment polarity protein dishevelled homolog DVL-
gene:Smp_020340	0	1	2.17724007819874	2.17834189663025	1142.71484506956	524.574706761265	Lysosomal alpha-glucosidase	Maltase-glucoamylase, intestinal
gene:Smp_021100	0	1	2.08800377934303	2.08917137041194	955.806063373796	457.499650433957	Protein Smaug homolog 2	RNA-binding protein smaug
gene:Smp_021220	3.02585818623413e-08	0.999999969741418	0.441683505339414	0.441617880788543	1844.67146244484	4177.08866989765	Contactin-5	Hepatitis A virus cellular receptor 1 homolog
gene:Smp_021280	0	1	0.0158003120274298	0.0135654777295808	2.92314550445663	216.211320245923	Protein ARV1	DNA-directed RNA polymerase
gene:Smp_022070	1.17297194179855e-09	0.999999998827028	2.77820906816275	2.80964808271015	78.0136821811083	27.7599127735057	Hypothetical protein	Thioredoxin reductase 1
gene:Smp_022740	1.22124532708767e-15	0.999999999999999	15.0680236300275	16.3374534010001	88.8833741914324	5.43107897415584	Tumor necrosis factor alpha-induced protein 8-like protein 2	Tumor necrosis factor, alpha-induced protein 8- like protein 2
gene:Smp_022870	9.7523506548125e-07	0.999999024764935	0.173184036025318	0.167803327121245	12.6499078087824	75.4349153420842	Protein lin-54 homolog	Protein MALE-specific lethal-2
gene:Smp_023010	5.30295683731641e-06	0.999994697043163	0.391913310058884	0.390871301235287	111.98238801195	286.509853614262	ATPase inhibitor, mitochondrial	ATPase inhibitor
gene:Smp_024660	5.82826262807146e-08	0.999999941717374	2.36905491148456	2.3704704703907	1125.60038241067	474.836827442297	Protein sax-3	Deleted in colorectal cancer
gene:Smp_025030	0	1	0.409838199437356	0.409677340766178	737.943814826034	1801.29493291602	Hypothetical protein	Cyclin-T1, protein TAT
gene:Smp_025380	7.105427357601e-15	0.999999999999993	0.304819118243084	0.304725329774996	1108.95426836522	3639.21575515484	16 kDa calcium-binding protein	Calmodulin-like domain protein kinase isoform 3
gene:Smp_026440	7.53284433718804e-08	0.999999924671557	0.440328169484765	0.438783477537182	78.045309716325	177.880266412118	Protein dpy-30 homolog	Protein DPY-30 homolog
gene:Smp_026820	6.55670245208739e-07	0.999999344329755	0.412136490450162	0.410763734150733	86.3546009416727	210.2437146329	Coiled-coil domain-containing protein 171	CT398
gene:Smp_026830	0	1	0.468400294207312	0.46809474029865	399.834631344731	854.185949925918	SS18-like protein 2	Protein C12ORF2
gene:Smp_027240	0	1	0.441971202181191	0.441560657737205	294.6678034997	667.345205533455	28S ribosomal protein S18c, mitochondrial	30S ribosomal protein S18
gene:Smp_027870	0	1	2.00401812861262	2.00482225788495	1228.99083411222	613.012341146989	Melanoma inhibitory activity protein 3	Smooth muscle myosin heavy chain
gene:Smp_028130	1.55431223447522e-15	0.999999999999998	0.0720140263844262	0.0638226231582116	3.53991845342362	55.6116319191963	Protein FAM78A	NTF2-like protein of unknown function
gene:Smp_030290	0	1	0.481397374992954	0.481247678011354	818.550782904778	1700.90372967719	Prefoldin subunit 2	Prefoldin
gene:Smp_031180	2.24654130032143e-06	0.9999977534587	0.493703031118493	0.493127459175708	212.963475389011	431.873220912112	phospholipase A	Lipase
gene:Smp_031220	0	1	0.463607156552062	0.462679817632273	131.387064535636	283.981346776374	Solute carrier family 35 member F1	Protein EMRE
gene:Smp_031770	0	1	0.467592822131079	0.467586242243905	18575.8016668832	39727.0178478245	Tropomyosin-2	Striated-muscle alpha tropomyosin
gene:Smp_032280	4.32986979603811e-15	0.999999999999996	2.77558898210014	2.77635980619695	3139.94574293177	1130.95138905457	Hypothetical protein	Insulin-like growth factor 2 mRNA-binding protein 1
gene:Smp_032790	0	1	0.422783965479588	0.422576936166967	578.449497970568	1368.87563587391	Essential MCU regulator, mitochondrial	DJ-1, uncharacterized protein C22E12.03C
gene:Smp_033010	2.14617059768329e-06	0.999997853829402	0.482484890333049	0.479948730477842	48.074142692523	100.175998293297	16 kDa calcium-binding protein	Centrin-2
gene:Smp_033140	0	1	0.443773534074206	0.443207392017951	213.783179508035	482.367287379213	tRNA-splicing endonuclease subunit Sen2	TRNA-splicing endonuclease
gene:Smp_033250	8.40438829641244e-13	0.99999999999916	0.0590937896264783	0.0502416910164455	2.61195334621459	52.1768052840091	Uridylate kinase	MBP, eosinophil granule major basic protein 1
gene:Smp_034550	0	1	0.474567320513788	0.474538278809859	4215.27416576648	8882.90704588807	Alpha-actinin-2	Actinin
gene:Smp_034610	5.02827482762314e-07	0.999999497172517	3.25833862959659	3.29026296571895	114.266891242516	34.721841324891	Innexin unc-9	Neurotoxin III
gene:Smp_034850	0	1	0.352604261248824	0.352483511646808	927.852354230006	2632.34675874602	TWiK family of potassium channels protein 18	Potassium channel subfamily K member 2
gene:Smp_034870	0	1	2.09357061919599	2.09385398614406	3967.37780065057	1894.76768120628	AP-2 complex subunit beta	AP-2 complex subunit beta
gene:Smp_035250	9.65894031423886e-15	0.99999999999999	0.320890365035057	0.31653015410064	24.1951679988826	76.4603384031672	DENN domain-containing protein 1A	Protein (glutamate mutase)
gene:Smp_035290	0	1	0.400521334429967	0.399110698727805	83.2646565170321	208.640524234194	DNA mismatch repair protein MutS	RV1873
gene:Smp_035380	0	1	0.268890220010184	0.265955208554598	32.516842931481	122.291958695438	A-kinase anchor protein 14	MU-O-conotoxin mrvib
gene:Smp_035390	0	1	2.00625415322228	2.00727991516173	966.774466532303	481.629087418662	Tyrosine-protein phosphatase non-receptor type 11	SHP-2, SYP, SHPTP-2
gene:Smp_035480	1.55431223447522e-15	0.999999999999998	0.46425582054484	0.46407545441817	676.776521009918	1458.34448646693	UPF0430 protein CG31712	Moesin
gene:Smp_035500	0.000234456685508144	0.999765543314492	0.407417015236797	0.40629543270578	105.38511951756	259.395129946125	Parkin coregulated gene protein homolog	Transportin-1
gene:Smp_036670	0.00987121368576427	0.990128786314236	6.04128660911282	7.2080681357731	15.2808401159082	2.11135066260278	Uncharacterized protein NMB1327	Putative SEL1 repeat protein
gene:Smp_036780	0	1	0.443105762574031	0.442482318142153	194.047983314789	438.556639520374	Leydig cell tumor 10 kDa protein homolog	ATP-dependent DNA helicase II, 80 kDa subunit
gene:Smp_038530	0	1	0.322286716083656	0.322164013055484	873.621658836426	2711.75054255932	Dual specificity protein phosphatase 14	Dual specificity protein phosphatase 9
gene:Smp_039130	2.22044604925031e-16	1	2.15593309388313	2.15641111455403	2560.21539903465	1187.25219771138	Niemann-Pick type protein homolog 1B	Niemann-PICK C1-like protein 1
gene:Smp_039160	0	1	2.25422561042931	2.2549238455017	1988.67731576369	881.921032717971	Metastasis suppressor protein 1	Metastasis suppressor protein 1
gene:Smp_039590	0	1	0.205389938651069	0.204152266974105	64.342205185074	315.206706328501	EF-hand domain-containing family member B	Calmodulin-related protein, putative
gene:Smp_039670	2.99760216648792e-15	0.999999999999997	2.51745040961764	2.51947803758035	925.747910850492	367.430357503401	Cyclin-L2	Cyclin-T2
gene:Smp_039870	0	1	2.07969209687168	2.0806769464656	1119.93136910426	538.248171700647	Vasodilator-stimulated phosphoprotein	EVH1 domain from ENA/VAsp-like protein
gene:Smp_041540	0	1	0.0638900152686483	0.0626612203291193	23.4272650545906	374.021417382068	Hypothetical protein	Melanoma differentiation associated protein-5
gene:Smp_041570	1.15751852547419e-12	0.999999999998842	4.35090510111714	4.4356994488893	86.0532923747198	19.392417446536	Coiled-coil domain-containing protein 83	Sulfite reductase, desulfoviridin-type subunit GA
gene:Smp_041700	0	1	0.418465488167255	0.4165207878236	61.1433289587117	146.809392324329	Rhodopsin (Fragment)	Proteinase-activated receptor 1, lysozyme
gene:Smp_041760	0	1	2.03193211505717	2.03245686173382	1962.37126027306	965.511727530797	Chromodomain-helicase-DNA-binding protein 1	Chromo domain-containing protein 1
gene:Smp_042060	8.7481953903179e-09	0.999999991251805	0.447318297093043	0.447216733338289	1194.84444512616	2671.74701635103	MIT domain-containing protein 1	MITD1, MIT domain-containing protein 1
gene:Smp_042120	0	1	0.404374319330929	0.403897479582194	247.693832756853	613.273927924201	Late transcription factor 1	Mitotic spindle assembly checkpoint protein MAD2A
gene:Smp_042150	3.29332581205932e-08	0.999999967066742	0.431461790433836	0.429421432459406	58.7386138046672	136.798760261915	tegument-allergen-like protein (TAL13)	Dynein light chain motor protein
gene:Smp_042280	0	1	0.471130212408038	0.470634496840219	246.514778263393	523.803659896437	Protein UXT	Protein (prefoldin)
gene:Smp_042530	7.10589586422339e-05	0.999928941041358	0.388693194588617	0.387641756734058	110.643917669012	285.444071308748	Cilia- and flagella-associated protein 251	Echinoderm microtubule-associated protein-like 1
gene:Smp_043110	0	1	0.387387440085529	0.387313886010352	1583.79913859332	4089.20341526853	Phosphoenolpyruvate carboxylase	GP37
gene:Smp_043220	0	1	0.413437283502737	0.413416900695252	5841.15263550695	14128.9784997051	Hybrid PKS-NRPS synthetase ATEG_00325	Cytochrome B559 subunit beta
gene:Smp_043650	0	1	0.366347277324839	0.366211966376655	841.988889690055	2299.2018417672	Probable arginine--tRNA ligase, mitochondrial	Iron-responsive element binding protein 1
gene:Smp_044060	0	1	0.488855716115683	0.488654198111893	608.533894974403	1245.33670391813	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A	High affinity CAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A...
gene:Smp_044920	0	1	2.77556148294896	2.77668811932498	2148.51132070492	773.761208135262	Dynamin-1	Dynamin-1, human dynamin 1
gene:Smp_045220	0	1	0.357247129541243	0.357237577586618	11802.3682612639	33037.886911621	Myosin essential light chain, striated adductor muscle	Myosin light chain alkali
gene:Smp_045360	9.61657375952996e-09	0.999999990383426	2.02692727600193	2.0271483534533	4623.17627877928	2280.62539153587	Calsyntenin-2	Vascular endothelial cadherin
gene:Smp_045430	2.22044604925031e-16	1	0.484065700567067	0.483262595123507	152.418309304185	315.405078349338	UDP-N-acetylglucosamine transferase subunit ALG14 homolog	Bacterial transferase hexapeptide (three repeats) protein
gene:Smp_045470	0.0081426398618808	0.991857360138119	15.1786592582364	20.9106277570634	25.3856341077342	1.20448453880854	Homeobox protein prospero homolog 1	Protein prospero
gene:Smp_046060	0	1	3.26738118795777	3.26774330101485	10045.8912968109	3074.25268571679	Myosin-11	Smooth muscle myosin heavy chain
gene:Smp_046800	4.44089209850063e-16	1	2.69949431147886	2.70047771455437	2291.32912263921	848.483994336601	Fatty acid-binding protein	SM14, 14 kDa fatty acid binding protein
gene:Smp_046810	0	1	2.72928185303253	2.73246416143909	729.008605365123	266.788963240994	M-phase inducer phosphatase 2	M-phase inducer phosphatase 3
gene:Smp_047720	9.32587340685131e-15	0.999999999999991	2.80745571174485	2.81562081623695	306.003583464604	108.674231093869	Polycomb protein Su(z)12	Zinc finger BED domain-containing protein 2
gene:Smp_047870	0	1	0.391924385885749	0.391587270648631	346.781456721213	885.594519643303	LIM domain kinase 1	LIMK-1, LIM domain kinase 1
gene:Smp_048160	0	1	2.02595325275108	2.02643015100182	2140.38585646286	1056.22964162036	Protein split ends	Smart/HDAC1 associated repressor protein
gene:Smp_048380	0	1	0.239344553998006	0.238115347998237	72.3354656815699	303.815294294366	Nuclear egress protein 1	NUCS, UPF0286 protein pyrab01260
gene:Smp_048560	0	1	0.366023758450704	0.365999580173062	4711.81149855362	12873.8339981971	Four and a half LIM domains protein 2	Fusion protein insulin gene enhancer protein ISL- domain-binding protein 1
gene:Smp_049230	0	1	0.16971254168377	0.165867880569164	17.5770633378044	106.02055442353	Major egg antigen	TSP36, small heat shock protein
gene:Smp_050270	0.0163389716669671	0.983661028333033	0.170022773284434	0.159358231969304	6.07918427955301	38.2006666489995	Tyrosinase	Tyrosinase
gene:Smp_050360	0	1	0.460696516959893	0.460553778797255	854.336594568059	1855.0319818489	protein MAK16 homolog SmMAK16	60S ribosomal protein EL28
gene:Smp_050380	0.00155404724317365	0.998445952756826	11.2309613786779	11.5512825789662	181.133014095775	15.6716364639558	Mitogen-activated protein kinase kinase kinase 1	NF-kappa-beta-inducing kinase
gene:Smp_050520	1.06351986439712e-07	0.999999893648014	2.71927947113307	2.72164728828979	970.255917725139	356.489507448972	Neurogenic locus notch homolog protein 3	Protein jagged-1
gene:Smp_051220	0.00130955366212537	0.998690446337875	0.437478320045953	0.436038543977328	83.6330411663947	191.814879524283	LisH domain-containing protein FOPNL	FOP, FGFR1OP
gene:Smp_051290	0	1	0.162964683840537	0.161364567338014	41.4339341845449	256.824166683764	Ig-like V-type domain-containing protein FAM187A	Obscurin
gene:Smp_051400	1.88737914186277e-15	0.999999999999998	0.499824666551007	0.499392430231166	283.718909036213	568.138197410355	Probable dynein light chain	Dynein light chain motor protein
gene:Smp_051640	0.00932055656499886	0.990679443435001	0.410051295016651	0.409547194178646	235.311391224809	574.579191599152	Poly(U)-specific endoribonuclease-A	Endou protein, xendou
gene:Smp_052500	0	1	0.409352721458402	0.408904828091107	264.74028371429	647.45186771681	Coiled-coil domain-containing protein 86	Hypothetical protein LOC64762
gene:Smp_052760	0	1	0.43307439505378	0.432166146481252	132.434128958146	306.455765623989	General transcription factor IIH subunit 5	RNA polymerase II transcription factor B subunit
gene:Smp_053120	2.05732701021866e-05	0.999979426729898	0.493806729746482	0.492404387805086	87.2559815167957	177.214215864094	Probable methyltransferase-like protein 15	Ribosomal RNA small subunit methyltransferase H
gene:Smp_054230	0	1	0.376944366208641	0.375916867908421	111.907538153783	297.708851448422	Centromere protein S	CENP-S
gene:Smp_054350	0	1	2.65955170016748	2.66355736678612	541.789574803344	203.402016410627	Fork head domain-containing protein FD3	Protein (transcription factor)
gene:Smp_054730	0	1	3.71540475697918	3.73129503782818	313.046850396964	83.890320725959	B-box type zinc finger protein ncl-1	NHL, brain tumor CG10719-PA
gene:Smp_055240	2.57099647035242e-05	0.999974290035296	4.53616274749025	4.54879676970745	625.087499943734	137.410406228423	Protocadherin beta-11	EP-cadherin, C-cadherin
gene:Smp_055420	0	1	0.368478986430026	0.368091540360838	294.563044274274	800.261160770243	Transmembrane protein 222	Methionine-R-sulfoxide reductase B1
gene:Smp_055440	0	1	3.66587904997983	3.68001219518645	340.799347844147	92.6009289229897	Hypothetical protein	IL-13, interleukin-13 receptor subunit alpha-2
gene:Smp_055740	1.76913588445515e-06	0.999998230864116	0.287342815302118	0.284589617501284	36.1578693710977	127.077803443618	Nanos homolog 1	Nanos protein
gene:Smp_056060	0	1	0.346929845300854	0.34561231141343	84.1000453040209	243.355304204706	Sex peptide receptor	Proteinase-activated receptor 1, lysozyme
gene:Smp_056280	2.1094237467878e-15	0.999999999999998	0.10154096659455	0.10076648026766	57.3833048688189	569.557426751124	Hypothetical protein	Tristetraproline
gene:Smp_056350	2.7684285209495e-05	0.999972315714791	0.38723197628988	0.382848073384172	26.2637614806252	68.6171221071565	Mitotic spindle assembly checkpoint protein MAD2A	MAD2, mitotic spindle checkpoint component MAD2
gene:Smp_056930	0	1	2.79061227213522	2.7920870461738	1664.42042614054	596.114117412969	Histone-lysine N-methyltransferase 2D	Myeloid/lymphoid or mixed-lineage leukemia protein 3 homolog
gene:Smp_057360	0	1	2.56676019944473	2.56967712252309	677.657615082948	263.707028549316	Serine/threonine-protein kinase SIK3	AMPK kdaid, SNF1-like protein kinase SSP2
gene:Smp_057860	0	1	0.33149898885564	0.331184845901277	346.013680196476	1044.79529371692	Hypothetical protein	Glutamate--cysteine ligase GSHA
gene:Smp_058360	0	1	2.02381709299417	2.02453579943458	1415.96934946143	699.399390467132	H(+)/Cl(-) exchange transporter 7	CMCLC
gene:Smp_059170	0	1	0.460194105669814	0.460108860550897	1430.49479515472	3109.04726406127	Troponin I	Troponin I, TNI
gene:Smp_059530	0	1	0.372247173755184	0.372226988181809	5683.49261895974	15268.9060093456	25 kDa integral membrane protein	CD63-like protein SM-TSP-2
gene:Smp_059870	0	1	0.436288428180032	0.435936193481201	342.527687205311	785.741888298035	p53 and DNA damage-regulated protein 1	Prefoldin beta subunit 1
gene:Smp_059980	0	1	4.59881710230018	4.60232667850151	2317.08137715526	503.450866430648	arginase	Arginase
gene:Smp_060030	0	1	3.40117465060919	3.41560748472882	278.987753184125	81.6732011381645	Somatomedin-B and thrombospondin type-1 domain-containing protein	F-spondin
gene:Smp_060240	1.03472785895065e-13	0.999999999999897	0.407415347327666	0.406823373693351	199.936843228395	491.473174659251	Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	Ring-box protein 1
gene:Smp_061210	0.00243737387220966	0.99756262612779	0.34485300582391	0.342388551803287	44.6787171246333	130.510477069889	F-box only protein 47	SKP2 F-BOX, cyclin A/CDK2-associated P19
gene:Smp_062490	3.86801701779405e-13	0.999999999999613	0.123745347270889	0.112649243745019	4.35765913203363	38.7622010981254	DNA-binding protein, putative	DNA-binding protein inhibitor ID-2
gene:Smp_062970	0.000128245029044738	0.999871754970955	0.355583917243643	0.354898032904463	163.701691494731	461.282191886569	Cilia- and flagella-associated protein 57	Echinoderm microtubule-associated protein-like 1
gene:Smp_063300	0	1	0.469701534489443	0.46963692930352	1892.66414385709	4030.06946300977	60S ribosomal protein L36	L39, YL39, 60S ribosomal protein L36-A
gene:Smp_063380	2.45150696254193e-06	0.999997548493037	0.239442258052838	0.233857796352649	15.6273568622223	66.8569469485711	Phosphoserine phosphatase	L-3-phosphoserine phosphatase
gene:Smp_063520	3.13784553895857e-11	0.999999999968622	0.163047719066835	0.155469667548902	8.42042430643636	54.2155247557188	Pre-B-cell leukemia transcription factor 4	Mating-type protein alpha-2
gene:Smp_063680	0.0141057154523844	0.985894284547616	2.16961915077894	2.1753734169485	217.084569835685	99.7864616760896	Biotin synthase	Protein GLC-1, avermectin-sensitive glutamate-gated chloride CHA alpha
gene:Smp_064330	0	1	0.318172156875432	0.318005036833262	636.992026474448	2003.1092990457	Protein stunted	ATP synthase subunit epsilon, mitochondrial
